interval,cdf
0.000000,0.000000
0.000001,0.000000
0.000002,0.000000
0.000003,0.000040
0.000004,0.000667
0.000005,0.002252
0.000006,0.003824
0.000007,0.003856
0.000008,0.003915
0.000009,0.004071
0.000010,0.004186
0.000011,0.004202
0.000012,0.004238
0.000013,0.004271
0.000014,0.004281
0.000015,0.004305
0.000016,0.004337
0.000017,0.004353
0.000018,0.004374
0.000019,0.004404
0.000020,0.004454
0.000030,0.005602
0.000040,0.006864
0.000050,0.008913
0.000060,0.010074
0.000070,0.011072
0.000080,0.011967
0.000090,0.012799
0.000100,0.013694
0.000110,0.014613
0.000120,0.015749
0.000130,0.017062
0.000140,0.018516
0.000150,0.020427
0.000160,0.022437
0.000170,0.025659
0.000180,0.027837
0.000190,0.029847
0.000200,0.031843
0.000225,0.040839
0.000250,0.066821
0.000275,0.102114
0.000300,0.123305
0.000325,0.138876
0.000350,0.164990
0.000375,0.179289
0.000400,0.187353
0.000425,0.194755
0.000450,0.200964
0.000475,0.208301
0.000500,0.215950
0.000550,0.231813
0.000600,0.251536
0.000650,0.271638
0.000700,0.286324
0.000750,0.295548
0.000800,0.301636
0.000850,0.313097
0.000900,0.333734
0.000950,0.349461
0.001000,0.360682
0.001100,0.376035
0.001200,0.385087
0.001300,0.390713
0.001400,0.394957
0.001500,0.399125
0.001600,0.403080
0.001700,0.405977
0.001800,0.408335
0.001900,0.410118
0.002000,0.411633
0.002250,0.415235
0.002500,0.419843
0.002750,0.424536
0.003000,0.430299
0.003250,0.436178
0.003500,0.441400
0.003750,0.445406
0.004000,0.449266
0.004250,0.452436
0.004500,0.455015
0.004750,0.457278
0.005000,0.459312
0.005500,0.463415
0.006000,0.470095
0.006500,0.474026
0.007000,0.477083
0.007500,0.480129
0.008000,0.483707
0.008500,0.487095
0.009000,0.490133
0.009500,0.492908
0.010000,0.495232
0.011000,0.499312
0.012000,0.504813
0.013000,0.509318
0.014000,0.513932
0.015000,0.518271
0.016000,0.522810
0.017000,0.526967
0.018000,0.530010
0.019000,0.532864
0.020000,0.535300
0.022500,0.540722
0.025000,0.545332
0.027500,0.550570
0.030000,0.558790
0.032500,0.563576
0.035000,0.568693
0.037500,0.572539
0.040000,0.576789
0.042500,0.579981
0.045000,0.582688
0.047500,0.585472
0.050000,0.588255
0.055000,0.593154
0.060000,0.598073
0.065000,0.603366
0.070000,0.608531
0.075000,0.612901
0.080000,0.617432
0.085000,0.621143
0.090000,0.625872
0.095000,0.629660
0.100000,0.633001
0.110000,0.640837
0.120000,0.647408
0.130000,0.652176
0.140000,0.657810
0.150000,0.662452
0.160000,0.666494
0.170000,0.670684
0.180000,0.674290
0.190000,0.677373
0.200000,0.680673
0.225000,0.688614
0.250000,0.694614
0.275000,0.699662
0.300000,0.704543
0.325000,0.708868
0.350000,0.712480
0.375000,0.715712
0.400000,0.719385
0.425000,0.722968
0.450000,0.726316
0.475000,0.729009
0.500000,0.731647
0.550000,0.736297
0.600000,0.742889
0.650000,0.756563
0.700000,0.764369
0.750000,0.771114
0.800000,0.786113
0.850000,0.817051
0.900000,0.823606
0.950000,0.827289
1.000000,0.830580
1.100000,0.837288
1.200000,0.842482
1.300000,0.850175
1.400000,0.854389
1.500000,0.859887
1.600000,0.863564
1.700000,0.867675
1.800000,0.870937
1.900000,0.875743
2.000000,0.899437
2.250000,0.908206
2.500000,0.912461
2.750000,0.916535
3.000000,0.919933
3.250000,0.923191
3.500000,0.926034
3.750000,0.928656
4.000000,0.931007
4.250000,0.932910
4.500000,0.935021
4.750000,0.936813
5.000000,0.938617
5.500000,0.942582
6.000000,0.945326
6.500000,0.947972
7.000000,0.950305
7.500000,0.952342
8.000000,0.954481
8.500000,0.956436
9.000000,0.958721
9.500000,0.960174
10.000000,0.961598
11.000000,0.964226
12.000000,0.966474
13.000000,0.968258
14.000000,0.970036
15.000000,0.971547
16.000000,0.973518
17.000000,0.974860
18.000000,0.976298
19.000000,0.977425
20.000000,0.978369
21.000000,0.979294
22.000000,0.980243
23.000000,0.981092
24.000000,0.981956
25.000000,0.982758
27.500000,0.984694
30.000000,0.986207
32.500000,0.988087
35.000000,0.989530
37.500000,0.990536
40.000000,0.991309
42.500000,0.992265
45.000000,0.992942
47.500000,0.993596
50.000000,0.994174
55.000000,0.995358
60.000000,0.997307
65.000000,0.999240
70.000000,1.000000
