size,cdf
40,0.000000
50,0.072582
75,0.131336
100,0.163081
200,0.294423
300,0.410953
400,0.451243
500,0.484566
600,0.515016
700,0.573032
800,0.624375
900,0.650078
1000,0.678955
1100,0.710142
1200,0.734955
1300,0.759311
1400,0.780467
1500,0.796946
1600,0.809725
1700,0.819005
1800,0.825818
1900,0.832075
2000,0.838709
2100,0.842672
2200,0.846189
2300,0.850674
2400,0.853470
2500,0.858091
2750,0.863101
3000,0.867279
3250,0.869800
3500,0.875320
3750,0.877107
4000,0.880010
4250,0.882115
4500,0.884322
4750,0.885759
5000,0.887531
5500,0.890149
6000,0.892032
6500,0.893873
7000,0.895364
7500,0.896910
8000,0.897775
8500,0.898863
9000,0.900044
9500,0.901989
10000,0.902914
11000,0.910930
12000,0.950516
13000,0.963518
14000,0.966069
15000,0.967462
16000,0.968552
17000,0.969965
18000,0.971077
19000,0.971906
20000,0.972615
21000,0.973265
22000,0.973974
23000,0.974803
24000,0.975933
25000,0.976548
27500,0.978384
30000,0.979410
32500,0.980285
35000,0.981805
37500,0.983054
40000,0.983877
42500,0.984922
45000,0.985428
47500,0.985912
50000,0.986388
55000,0.987201
60000,0.988164
65000,0.988983
70000,0.989495
75000,0.989917
80000,0.990495
85000,0.991043
90000,0.991738
95000,0.992221
100000,0.992551
110000,0.993173
120000,0.993771
130000,0.994199
140000,0.994690
150000,0.995381
160000,0.995686
170000,0.995925
180000,0.996226
190000,0.996383
200000,0.996618
210000,0.996790
220000,0.997019
230000,0.997152
240000,0.997278
250000,0.997412
260000,0.997577
270000,0.997669
280000,0.997806
290000,0.997900
300000,0.997940
310000,0.997993
320000,0.998055
330000,0.998107
340000,0.998161
350000,0.998211
360000,0.998238
370000,0.998272
380000,0.998302
390000,0.998344
400000,0.998396
410000,0.998454
420000,0.998508
430000,0.998539
440000,0.998563
450000,0.998585
460000,0.998625
470000,0.998681
480000,0.998743
490000,0.998749
500000,0.998767
525000,0.998822
550000,0.998876
575000,0.998910
600000,0.998956
625000,0.999014
650000,0.999067
675000,0.999117
700000,0.999155
725000,0.999177
750000,0.999209
775000,0.999229
800000,0.999259
825000,0.999285
850000,0.999309
875000,0.999354
900000,0.999368
925000,0.999386
950000,0.999408
975000,0.999444
1000000,0.999462
1025000,0.999486
1050000,0.999506
1075000,0.999532
1100000,0.999556
1125000,0.999588
1150000,0.999607
1175000,0.999627
1200000,0.999635
1225000,0.999659
1250000,0.999683
1275000,0.999693
1300000,0.999711
1325000,0.999741
1350000,0.999747
1375000,0.999761
1400000,0.999767
1425000,0.999783
1450000,0.999791
1475000,0.999799
1500000,0.999807
1525000,0.999821
1550000,0.999827
1575000,0.999843
1600000,0.999857
1625000,0.999863
1650000,0.999870
1675000,0.999872
1700000,0.999880
1725000,0.999890
1750000,0.999892
1775000,0.999904
1800000,0.999916
1825000,0.999918
1850000,0.999918
1875000,0.999922
1900000,0.999926
1925000,0.999932
1950000,0.999938
1975000,0.999946
2000000,0.999970
2025000,0.999972
2050000,0.999978
2075000,0.999982
2100000,0.999992
2125000,0.999996
2150000,1.000000
2175000,1.000000
