size,cdf
50,0.07255932733469721
100,0.16302890620175578
200,0.29432891835307756
300,0.41082224608219475
400,0.4510988978153517
500,0.48441144774035216
750,0.6024087505453155
1000,0.6787389716794521
1500,0.7966924500451192
2500,0.8578175827634497
5000,0.8872476857708022
7500,0.8966241237602166
10000,0.9026260799238252
15000,0.9671535827475135
25000,0.9762371938016307
50000,0.986073788403655
75000,0.9896016557669974
100000,0.9922351061647042
150000,0.9950637745192757
250000,0.9970936428666761
500000,0.9984482164449217
1000000,0.9991434314137565
1500000,0.9994880508682219
2500000,0.9997450214440949
5000000,0.9999023910215676
10000000,0.9999262952611837
20000000,0.9999800798003199
50000000,0.99999003990016
100000000,0.999998007980032
400000000,1.0
