five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-41.177.40.117:4982-TCP,1261067176.376926,48,244.3.160.239,41.177.40.117,80,4982,TCP,244.3.160.239-41.177.40.117,3,503,0.7574000358581543
244.3.160.239:80-41.177.40.117:3509-TCP,1261067177.134326,48,244.3.160.239,41.177.40.117,80,3509,TCP,244.3.160.239-41.177.40.117,8,4442,0.8149199485778809
244.3.160.239:80-41.177.40.117:7459-TCP,1261067177.949246,48,244.3.160.239,41.177.40.117,80,7459,TCP,244.3.160.239-41.177.40.117,879,1169149,18.36521816253662
244.3.160.239:80-41.177.40.117:8212-TCP,1261067196.314464,48,244.3.160.239,41.177.40.117,80,8212,TCP,244.3.160.239-41.177.40.117,7,481,72.50651502609253
244.3.160.239:80-41.177.40.117:11221-TCP,1261067268.820979,48,244.3.160.239,41.177.40.117,80,11221,TCP,244.3.160.239-41.177.40.117,7,672,45.78271484375
244.3.160.239:80-41.177.40.117:6409-TCP,1261067314.603694,48,244.3.160.239,41.177.40.117,80,6409,TCP,244.3.160.239-41.177.40.117,3,503,0.559330940246582
244.3.160.239:80-41.177.40.117:15566-TCP,1261067315.163025,48,244.3.160.239,41.177.40.117,80,15566,TCP,244.3.160.239-41.177.40.117,8,4447,0.8791251182556152
244.3.160.239:80-41.177.40.117:3026-TCP,1261067316.04215,48,244.3.160.239,41.177.40.117,80,3026,TCP,244.3.160.239-41.177.40.117,730,970362,18.46508502960205
244.3.160.239:80-41.177.40.117:3553-TCP,1261067334.507235,48,244.3.160.239,41.177.40.117,80,3553,TCP,244.3.160.239-41.177.40.117,7,481,54.88463997840881
244.3.160.239:80-41.177.40.117:8897-TCP,1261067389.391875,48,244.3.160.239,41.177.40.117,80,8897,TCP,244.3.160.239-41.177.40.117,7,672,39.97312593460083
244.3.160.239:80-41.177.40.117:9723-TCP,1261067429.365001,48,244.3.160.239,41.177.40.117,80,9723,TCP,244.3.160.239-41.177.40.117,3,503,0.5421760082244873
244.3.160.239:80-41.177.40.117:7148-TCP,1261067429.907177,48,244.3.160.239,41.177.40.117,80,7148,TCP,244.3.160.239-41.177.40.117,8,4451,0.810042142868042
244.3.160.239:80-41.177.40.117:12808-TCP,1261067430.717219,48,244.3.160.239,41.177.40.117,80,12808,TCP,244.3.160.239-41.177.40.117,814,1082194,18.660465002059937
244.3.160.239:80-41.177.40.117:9692-TCP,1261067449.377684,48,244.3.160.239,41.177.40.117,80,9692,TCP,244.3.160.239-41.177.40.117,7,481,63.23129081726074
244.3.160.239:80-41.177.40.117:3532-TCP,1261067512.608975,48,244.3.160.239,41.177.40.117,80,3532,TCP,244.3.160.239-41.177.40.117,7,672,44.68296003341675
244.3.160.239:80-41.177.40.117:16161-TCP,1261067557.291935,48,244.3.160.239,41.177.40.117,80,16161,TCP,244.3.160.239-41.177.40.117,3,503,0.5145490169525146
244.3.160.239:80-41.177.40.117:15430-TCP,1261067557.806484,48,244.3.160.239,41.177.40.117,80,15430,TCP,244.3.160.239-41.177.40.117,8,4440,0.9013829231262207
244.3.160.239:80-41.177.40.117:15340-TCP,1261067558.707867,48,244.3.160.239,41.177.40.117,80,15340,TCP,244.3.160.239-41.177.40.117,315,417441,18.45041513442993
244.3.160.239:80-41.177.40.117:3625-TCP,1261067577.158282,48,244.3.160.239,41.177.40.117,80,3625,TCP,244.3.160.239-41.177.40.117,7,481,6.1025919914245605
244.3.160.239:80-41.177.40.117:2817-TCP,1261067583.260874,48,244.3.160.239,41.177.40.117,80,2817,TCP,244.3.160.239-41.177.40.117,7,672,22.406305074691772
244.3.160.239:80-41.177.40.117:15530-TCP,1261067605.667179,48,244.3.160.239,41.177.40.117,80,15530,TCP,244.3.160.239-41.177.40.117,6,807,0.5552449226379395
244.3.160.239:80-41.177.40.117:14816-TCP,1261067606.222424,48,244.3.160.239,41.177.40.117,80,14816,TCP,244.3.160.239-41.177.40.117,8,4430,0.8418328762054443
244.3.160.239:80-41.177.40.117:13742-TCP,1261067607.064257,48,244.3.160.239,41.177.40.117,80,13742,TCP,244.3.160.239-41.177.40.117,863,1147406,18.793975114822388
244.3.160.239:80-41.177.40.117:9387-TCP,1261067625.858232,48,244.3.160.239,41.177.40.117,80,9387,TCP,244.3.160.239-41.177.40.117,7,481,68.61602687835693
