size_interval,size_2,size_3,size_4
0.0613,0.0235,0.0791,0.1173
0.1087,0.0667,0.1431,0.1717
0.0577,0.0233,0.0814,0.1103
0.0561,0.0343,0.0729,0.0891
0.1318,0.0543,0.1594,0.2097
0.0752,0.0326,0.0959,0.1297
0.0679,0.0263,0.0863,0.1112
0.0754,0.0333,0.1064,0.1497
0.0630,0.0331,0.0829,0.1084
0.0564,0.0215,0.0662,0.0992
0.0211,0.0104,0.0168,0.0247
0.0644,0.0423,0.0792,0.0939
0.1154,0.0502,0.1393,0.1795
0.1132,0.0683,0.1349,0.1703
0.0629,0.0399,0.0791,0.0904
0.0778,0.0458,0.0938,0.1152
0.0786,0.0485,0.0961,0.1166
0.0278,0.0096,0.0354,0.0522
0.1337,0.0606,0.1601,0.1983
0.0443,0.0261,0.0584,0.0756
0.0522,0.0168,0.0674,0.1018
0.0405,0.0270,0.0564,0.0710
0.0333,0.0237,0.0481,0.0571
0.0297,0.0137,0.0407,0.0533
0.0238,0.0044,0.0100,0.0192
0.0766,0.0436,0.0987,0.1260
0.0596,0.0380,0.0832,0.1014
0.0723,0.0273,0.0895,0.1254
0.0783,0.0270,0.0874,0.1326
0.0719,0.0462,0.0927,0.1130
0.0473,0.0267,0.0633,0.0815
0.0736,0.0437,0.0975,0.1152
0.0369,0.0197,0.0485,0.0637
0.0147,0.0036,0.0091,0.0155
0.0706,0.0434,0.0848,0.1106
0.0495,0.0214,0.0667,0.0951
0.0615,0.0250,0.0778,0.1095
0.0639,0.0257,0.0831,0.1150
0.0583,0.0285,0.0749,0.0915
0.0552,0.0261,0.0742,0.0967
0.0196,0.0059,0.0096,0.0137
0.0635,0.0266,0.0828,0.1179
0.0884,0.0391,0.1164,0.1544
0.0873,0.0350,0.0994,0.1472
0.0892,0.0527,0.1157,0.1364
0.0013,0.0081,0.0134,0.0196
0.0016,0.0007,0.0023,0.0040
0.0397,0.0252,0.0513,0.0621
0.0001,0.0074,0.0199,0.0267
0.0848,0.0504,0.1012,0.1228
0.0016,0.0012,0.0041,0.0146
0.0639,0.0401,0.0832,0.1016
0.0007,0.0004,0.0069,0.0140
0.0001,0.0071,0.0139,0.0267
0.0008,0.0005,0.0024,0.0109
0.0001,0.0086,0.0209,0.0280
