size_interval,size_2,size_3,size_4
0.5905,0.5336,0.6801,0.6931
0.4390,0.3539,0.5690,0.6448
0.0230,0.0000,0.0046,0.0093
0.0311,0.0000,0.0047,0.0096
0.4954,0.4240,0.6118,0.6686
0.6334,0.4635,0.6516,0.6931
0.4907,0.2118,0.4924,0.6489
0.5631,0.3522,0.5793,0.6616
0.0158,0.0000,0.0000,0.0000
0.4713,0.3249,0.5142,0.6086
0.6120,0.4682,0.6820,0.6931
0.3566,0.2100,0.3628,0.4861
0.0223,0.0000,0.0000,0.0007
0.5907,0.4555,0.6840,0.6931
0.5078,0.3292,0.5666,0.6688
0.5866,0.4095,0.6443,0.6827
0.3934,0.1339,0.3631,0.5436
0.4799,0.2664,0.5135,0.6285
0.0176,0.0000,0.0000,0.0000
0.4557,0.2745,0.4970,0.6010
0.0245,0.0037,0.0154,0.0259
0.4993,0.3299,0.5987,0.6619
0.0343,0.0000,0.0000,0.0039
0.6186,0.5067,0.6278,0.6931
0.0157,0.0000,0.0000,0.0032
0.0048,0.0000,0.0000,0.0000
0.0288,0.0000,0.0000,0.0000
0.0229,0.0000,0.0008,0.0015
0.6250,0.4291,0.6853,0.6931
0.6238,0.5761,0.6931,0.6931
