size_interval,size_2,size_3,size_4
0.2980,0.3858,0.5375,0.6073
0.3200,0.4539,0.5981,0.6432
0.1972,0.2662,0.4226,0.5195
0.2881,0.3864,0.5535,0.6198
0.1819,0.2668,0.4125,0.5026
0.1817,0.2875,0.4524,0.5532
0.3211,0.4085,0.5687,0.6265
0.3050,0.4017,0.5500,0.6112
0.1605,0.2488,0.4088,0.5001
0.1734,0.2544,0.4089,0.5002
0.3011,0.4046,0.5601,0.6239
0.3050,0.4037,0.5698,0.6286
0.2936,0.3823,0.5380,0.6067
0.3084,0.4698,0.6128,0.6524
0.2743,0.3744,0.5189,0.5851
0.3644,0.4139,0.6099,0.6772
0.0835,0.4179,0.5747,0.6480
0.2354,0.2396,0.4010,0.5188
0.2304,0.4027,0.5369,0.6058
0.5118,0.5767,0.6781,0.6931
0.2875,0.3832,0.5527,0.6228
0.1761,0.1390,0.2112,0.2805
0.3103,0.3894,0.6225,0.6728
0.4989,0.5870,0.6794,0.6931
0.3263,0.4231,0.5929,0.6424
0.1640,0.2448,0.3775,0.4607
0.1357,0.2203,0.3451,0.4610
0.1605,0.2565,0.4155,0.5182
0.2415,0.2347,0.3855,0.4772
0.3118,0.4729,0.6091,0.6510
0.2444,0.2643,0.4272,0.5334
0.2737,0.3709,0.5219,0.5902
0.2755,0.3592,0.5013,0.5774
0.2489,0.3934,0.5423,0.6082
0.2922,0.3964,0.5474,0.6091
0.2859,0.3887,0.5204,0.5849
0.1783,0.2597,0.4107,0.5004
0.3437,0.4577,0.5981,0.6434
0.1892,0.2559,0.4144,0.5195
0.3366,0.4785,0.6221,0.6652
0.2580,0.2468,0.3912,0.4899
0.1891,0.4071,0.5792,0.6309
0.3854,0.4045,0.6010,0.6666
0.2716,0.3727,0.5204,0.5910
0.3130,0.4099,0.5635,0.6252
0.2977,0.3954,0.5291,0.5928
0.2335,0.4262,0.5696,0.6287
0.2055,0.1096,0.1881,0.2682
0.2492,0.4091,0.5886,0.6544
0.1524,0.2686,0.4250,0.5207
0.3147,0.4204,0.5639,0.6279
0.2057,0.2543,0.4129,0.5127
0.3018,0.3972,0.5216,0.5895
0.2914,0.3906,0.5256,0.5874
0.2200,0.2466,0.3914,0.4872
0.2186,0.3048,0.4525,0.5385
0.2702,0.2213,0.3611,0.4583
0.2272,0.2635,0.4384,0.5347
0.1810,0.2639,0.4064,0.4934
0.2402,0.1777,0.2766,0.3588
0.1602,0.2469,0.3873,0.4779
0.1772,0.2411,0.3883,0.4818
0.2849,0.2559,0.3980,0.4882
0.2111,0.1095,0.1667,0.2290
0.1965,0.2384,0.4005,0.5014
0.0879,0.3120,0.4405,0.5289
0.4822,0.4817,0.5593,0.6145
0.2099,0.2965,0.4469,0.5321
0.2994,0.2593,0.4135,0.5068
0.1989,0.2695,0.4186,0.5140
0.3144,0.2422,0.4013,0.5072
0.1801,0.2631,0.4144,0.5168
0.1014,0.1748,0.2566,0.3284
0.2775,0.2526,0.3515,0.4349
0.3054,0.3470,0.4774,0.5605
0.2827,0.1606,0.2545,0.3262
0.2723,0.2440,0.3844,0.4754
0.2838,0.2376,0.3600,0.4641
0.1709,0.2889,0.4157,0.5081
0.3400,0.1225,0.1847,0.2313
0.1629,0.3257,0.4656,0.5676
