size_interval,size_2,size_3,size_4
0.2612,0.1461,0.4415,0.6374
0.2778,0.1368,0.4020,0.6411
0.2300,0.1049,0.3689,0.6137
0.2558,0.1680,0.4705,0.6481
0.2131,0.0764,0.2926,0.5406
0.2424,0.1546,0.4197,0.6352
0.2099,0.0726,0.3009,0.5584
0.2112,0.0720,0.2784,0.5549
0.2181,0.0861,0.3163,0.5680
0.2266,0.0902,0.3455,0.6038
0.2703,0.1668,0.4546,0.6487
0.2888,0.1477,0.4546,0.6494
0.2561,0.1544,0.4394,0.6409
0.2578,0.1498,0.4132,0.6174
0.2236,0.0767,0.3169,0.5574
0.2789,0.1501,0.4229,0.6395
0.1991,0.0712,0.2605,0.5253
0.2316,0.0940,0.3450,0.5966
0.1958,0.0702,0.2966,0.5597
0.2624,0.1531,0.4238,0.6353
