size_interval,size_2,size_3,size_4
0.0645,0.0330,0.0513,0.0693
0.0617,0.0119,0.0232,0.0345
0.0330,0.0109,0.0162,0.0217
0.0396,0.0031,0.0045,0.0059
0.0687,0.0059,0.0169,0.0276
0.0258,0.0057,0.0085,0.0112
0.0631,0.0073,0.0213,0.0366
0.0387,0.0010,0.0017,0.0030
0.0298,0.0029,0.0040,0.0050
0.0985,0.0560,0.0974,0.1440
0.1814,0.1086,0.1589,0.2041
0.1791,0.0494,0.1277,0.2082
0.0677,0.0165,0.0274,0.0379
0.0903,0.0057,0.0098,0.0160
0.0260,0.0251,0.0903,0.1690
0.0211,0.2370,0.4066,0.5243
0.1468,0.1208,0.1745,0.2243
0.0233,0.0246,0.0372,0.0494
0.0498,0.0017,0.0024,0.0031
0.0374,0.0115,0.0168,0.0223
0.0034,0.0007,0.0010,0.0014
0.0198,0.1662,0.4079,0.5922
0.1206,0.0420,0.0612,0.0798
0.0280,0.0240,0.0386,0.0608
0.0328,0.0052,0.0082,0.0111
0.0203,0.1409,0.2869,0.4121
0.0154,0.0088,0.0130,0.0173
0.0130,0.0302,0.0609,0.0956
0.1858,0.1170,0.1707,0.2205
0.3813,0.4833,0.5793,0.6358
0.1042,0.0410,0.0595,0.0772
0.4308,0.5918,0.6706,0.6914
