size_interval,size_2,size_3,size_4
0.0509,0.0333,0.0412,0.0454
0.0976,0.0854,0.0925,0.0951
0.0115,0.0015,0.0024,0.0034
0.1595,0.1443,0.1513,0.1549
0.0141,0.0089,0.0101,0.0121
0.0263,0.0134,0.0166,0.0205
0.0352,0.0246,0.0303,0.0311
0.1369,0.1165,0.1220,0.1252
0.1027,0.0757,0.0864,0.0955
0.0564,0.0395,0.0451,0.0520
0.0993,0.0768,0.0916,0.0984
0.0721,0.0441,0.0706,0.0795
0.0720,0.0597,0.0691,0.0701
0.2423,0.2250,0.2313,0.2352
0.0483,0.0392,0.0444,0.0456
0.0086,0.0082,0.0113,0.0139
0.0029,0.0041,0.0052,0.0060
0.0081,0.0031,0.0060,0.0096
0.1409,0.1190,0.1236,0.1264
0.0045,0.0055,0.0069,0.0084
0.1328,0.0979,0.1160,0.1279
0.0740,0.0592,0.0673,0.0745
0.0246,0.0203,0.0292,0.0363
0.0150,0.0139,0.0171,0.0195
0.0247,0.0159,0.0180,0.0202
0.1012,0.0813,0.0856,0.0898
0.0058,0.0004,0.0047,0.0081
0.0583,0.0405,0.0433,0.0459
0.0144,0.0025,0.0033,0.0057
0.0681,0.0580,0.0618,0.0642
0.0256,0.0147,0.0155,0.0167
0.0669,0.0416,0.0572,0.0678
0.1159,0.0927,0.0989,0.1018
0.0650,0.0491,0.0550,0.0597
0.0305,0.0187,0.0210,0.0222
0.1291,0.1072,0.1113,0.1149
0.0830,0.0577,0.0613,0.0675
0.0255,0.0165,0.0181,0.0192
0.0208,0.0130,0.0163,0.0198
0.0587,0.0404,0.0456,0.0482
0.0079,0.0005,0.0034,0.0067
0.0318,0.0186,0.0216,0.0236
0.0139,0.0118,0.0169,0.0206
0.1173,0.0948,0.1084,0.1163
0.0856,0.0645,0.0676,0.0690
0.0360,0.0271,0.0328,0.0367
0.0479,0.0429,0.0441,0.0444
0.1491,0.1475,0.1539,0.1628
0.2431,0.2307,0.2473,0.2516
0.0601,0.0457,0.0484,0.0524
0.0184,0.0106,0.0124,0.0141
0.0325,0.0147,0.0170,0.0199
0.0144,0.0082,0.0097,0.0106
0.0499,0.0378,0.0471,0.0512
0.0210,0.0112,0.0149,0.0168
0.0673,0.0403,0.0433,0.0464
0.0151,0.0026,0.0021,0.0018
0.0318,0.0104,0.0216,0.0287
0.0171,0.0085,0.0104,0.0131
0.0063,0.0045,0.0075,0.0148
0.0524,0.0375,0.0393,0.0411
0.0311,0.0142,0.0183,0.0206
0.0136,0.0088,0.0109,0.0138
0.0079,0.0017,0.0035,0.0072
0.0100,0.0036,0.0057,0.0079
0.0003,0.0012,0.0023,0.0035
0.0050,0.0001,0.0057,0.0113
0.0468,0.0262,0.0292,0.0325
0.0675,0.0489,0.0531,0.0579
0.1225,0.1022,0.1043,0.1067
0.0086,0.0008,0.0013,0.0020
0.0216,0.0100,0.0109,0.0125
0.0061,0.0074,0.0135,0.0206
0.0189,0.0136,0.0187,0.0252
0.0072,0.0011,0.0087,0.0168
0.3525,0.3532,0.3538,0.3544
0.0060,0.0012,0.0012,0.0025
0.0146,0.0100,0.0150,0.0221
0.1848,0.1289,0.1476,0.1648
0.0299,0.0231,0.0272,0.0334
0.0013,0.0061,0.0128,0.0188
