,common_accuracy,common_coverage,lomas_accuracy,lomas_coverage,encore_accuracy,encore_coverage
app_11,0.1495,0.0925,0.0385,0.0455,0.0090,0.0120
app_49,0.2510,0.2490,0.0620,0.0640,0.0250,0.0220
app_131,0.0603,0.0220,0.0140,0.0132,0.0072,0.0062
app_147,0.0824,0.0975,0.0198,0.0256,0.0058,0.0076
app_182,0.1054,0.2086,0.0690,0.0596,0.0486,0.0442
app_199,0.0190,0.0330,0.0210,0.0240,0.0120,0.0220
app_207,0.0250,0.0290,0.0100,0.0110,0.0030,0.0060
app_212,0.1598,0.2698,0.0600,0.0646,0.0448,0.0334
app_265,0.1622,0.1302,0.0565,0.0470,0.0102,0.0101
app_275,0.2039,0.3155,0.0590,0.0632,0.0120,0.0148
