,common_size_interval,common_size_2,common_size_3,common_size_4,lomas_size_interval,lomas_size_2,lomas_size_3,lomas_size_4,encore_size_interval,encore_size_2,encore_size_3,encore_size_4
app_11,0.3562,0.1724,0.4692,0.6148,0.2940,0.2191,0.4980,0.6434,0.0554,0.0284,0.0708,0.0930
app_49,0.3484,0.2759,0.4299,0.5150,0.2548,0.3232,0.4655,0.5418,0.0569,0.0445,0.0496,0.0535
app_131,0.2405,0.1171,0.3732,0.6036,0.2257,0.1483,0.3929,0.6150,0.0754,0.0388,0.0999,0.1470
app_147,0.0973,0.0299,0.0643,0.0914,0.0844,0.0747,0.1142,0.1473,0.0073,0.0011,0.0020,0.0033
app_182,0.6106,0.5565,0.6768,0.6917,0.2555,0.5328,0.6687,0.6904,0.0002,0.0101,0.0166,0.0231
app_199,0.1011,0.0078,0.0242,0.0538,0.1751,0.0169,0.0338,0.0577,0.0162,0.0008,0.0020,0.0049
app_207,0.0092,0.0010,0.0022,0.0035,0.0590,0.0029,0.0041,0.0053,0.0210,0.0018,0.0026,0.0035
app_212,0.1454,0.0956,0.1511,0.1952,0.1490,0.1292,0.1776,0.2114,0.0052,0.0035,0.0060,0.0086
app_265,0.3425,0.2352,0.3681,0.4137,0.1545,0.2480,0.3705,0.4209,0.0081,0.0086,0.0130,0.0163
app_275,0.1440,0.1365,0.2326,0.3039,0.1567,0.2183,0.3201,0.3891,0.0121,0.0079,0.0099,0.0124
