Leaf,TotalPacket,DropPacket
0,16177,1
1,11713,0
2,8127,0
3,8709,0
4,13256,10
5,12527,0
6,19972,8
7,10688,0
8,5339,10
9,14041,0
10,18601,2
11,15703,0
12,16038,0
13,17641,10
14,16359,1
15,15008,6
16,15398,0
17,20284,0
18,20243,4
19,15135,0
20,18564,2
21,19412,0
22,14696,0
23,12119,1
24,21591,13
25,2322,7
26,24269,0
27,24800,0
28,19320,2
29,7936,5
30,9385,4
31,3244,0
32,14070,4
33,12150,0
34,25118,0
35,19966,0
36,13450,3
37,19131,8
38,13505,1
39,14630,0
40,15938,0
41,15901,0
42,19136,2
43,25487,0
44,4021,7
45,13436,15
46,17062,8
47,11344,2
48,9996,0
49,8216,0
50,22205,0
51,13379,1
52,9274,11
53,14496,11
54,6211,0
55,17082,2
56,14010,10
57,12796,0
58,3361,0
59,9615,9
60,18005,0
61,10771,16
62,16385,0
63,8330,0
64,4072,0
65,10152,0
66,7861,0
67,11741,0
68,14939,1
69,10157,3
70,12899,9
71,8861,0
72,15429,0
73,13582,5
74,10446,0
75,19835,2
76,18393,3
77,18090,14
78,13644,0
79,16136,0
80,13258,0
81,9591,0
82,6218,0
83,15106,0
84,11210,1
85,13917,1
86,14065,0
87,16250,5
88,13571,5
89,9610,0
90,19713,0
91,9548,0
92,17564,7
93,15071,4
94,12753,8
95,15100,0
96,21828,0
97,16933,11
98,6218,5
99,5702,4
100,6799,0
101,13213,5
102,14562,4
103,11735,0
104,9278,0
105,10701,0
106,14648,0
107,12117,0
108,12287,0
109,17320,2
110,9822,0
111,19820,3
112,11382,0
113,11103,3
114,14103,1
