Leaf,TotalPacket,DropPacket
0,18807,15
1,11221,4
2,8725,0
3,11236,16
4,18531,13
5,8923,0
6,26468,6
7,10957,67
8,6230,37
9,10151,0
10,22271,8
11,13148,5
12,16065,1
13,14878,12
14,16483,2
15,16444,3
16,16678,0
17,23508,2
18,25169,11
19,18465,1
20,25602,23
21,19677,0
22,16306,0
23,10392,9
24,11298,21
25,3198,24
26,25473,7
27,28553,1
28,19720,13
29,8041,9
30,8061,23
31,3150,2
32,7278,6
33,12943,0
34,24185,17
35,18035,0
36,11107,11
37,26569,12
38,12912,0
39,17973,40
40,18153,0
41,16156,2
42,21750,29
43,31432,4
44,4572,1
45,13736,25
46,16085,14
47,11641,5
48,10979,1
49,10518,0
50,26556,2
51,14564,10
52,6603,10
53,15165,49
54,4245,0
55,17535,3
56,13239,53
57,13851,0
58,3390,1
59,8542,16
60,20078,2
61,10265,22
62,16547,0
63,5423,0
64,9653,0
65,14109,2
66,8488,2
67,14534,14
68,20162,3
69,10579,0
70,10716,19
71,7445,2
72,17292,0
73,7387,0
74,12102,5
75,21280,33
76,19455,3
77,20985,28
78,13038,4
79,18904,0
80,10693,0
81,6863,3
82,4296,1
83,10797,0
84,14909,4
85,17479,13
86,15540,5
87,15039,10
88,13890,5
89,10169,2
90,18993,1
91,13145,2
92,14608,10
93,14119,12
94,11638,11
95,19361,0
96,23424,3
97,15090,14
98,4983,0
99,4805,0
100,7703,1
101,13873,11
102,9862,7
103,10194,0
104,5613,2
105,18208,1
106,14637,2
107,10109,0
108,10890,0
109,16026,4
110,9338,2
111,19030,17
112,5895,0
113,12674,11
114,11080,0
