Leaf,TotalPacket,DropPacket
0,18826,206
1,11167,162
2,14171,281
3,10751,350
4,13776,276
5,12215,72
6,14707,352
7,14999,236
8,3433,178
9,7925,102
10,18888,255
11,9547,250
12,19315,247
13,14100,188
14,15651,294
15,19058,281
16,19275,164
17,18436,231
18,18915,198
19,10549,293
20,13485,173
21,18113,130
22,14682,199
23,12326,178
24,13714,166
25,5887,133
26,18931,169
27,21436,181
28,11598,242
29,6757,53
30,11164,110
31,3842,53
32,9001,90
33,14205,128
34,21910,346
35,18333,196
36,17358,133
37,19763,142
38,13472,174
39,11910,117
40,17693,324
41,17761,381
42,21732,233
43,25826,224
44,4183,79
45,13155,296
46,23086,289
47,14711,160
48,12715,121
49,5092,70
50,20775,219
51,17830,246
52,6633,89
53,16733,184
54,5099,146
55,15220,213
56,11311,214
57,16531,313
58,4376,95
59,12174,35
60,14732,112
61,12230,88
62,14889,197
63,4775,40
64,12470,124
65,12587,260
66,11183,208
67,14243,221
68,14679,147
69,14503,197
70,6080,132
71,6096,86
72,18846,209
73,13081,228
74,4771,105
75,16124,128
76,4772,90
77,20914,366
78,13453,130
79,15314,131
80,11502,173
81,6331,101
82,4741,27
83,13861,173
84,13759,237
85,12329,300
86,14765,107
87,17666,240
88,11450,345
89,14893,370
90,15128,398
91,12216,335
92,13532,182
93,14868,135
94,13157,191
95,13252,241
96,19408,203
97,11704,206
98,3294,137
99,4754,88
100,6091,149
101,12485,169
102,13117,149
103,19043,42
104,7382,126
105,16240,112
106,11499,191
107,8897,141
108,13303,96
109,8301,259
110,11000,317
111,20152,288
112,5459,88
113,11309,154
114,11345,147
