Leaf,TotalPacket,DropPacket
0,19270,203
1,12238,143
2,15498,135
3,15566,127
4,15227,179
5,11876,86
6,15224,352
7,14844,416
8,3401,136
9,8196,100
10,23352,175
11,19882,107
12,20641,189
13,15532,307
14,15902,221
15,19573,126
16,17249,135
17,17397,241
18,19411,205
19,15177,41
20,21333,260
21,19308,86
22,15774,176
23,14617,115
24,15000,292
25,5818,91
26,19054,333
27,20737,256
28,17795,160
29,7447,51
30,10926,78
31,3685,50
32,8938,77
33,15709,118
34,22473,428
35,19524,198
36,19253,135
37,19933,32
38,14996,132
39,13163,107
40,17039,137
41,18763,352
42,22447,264
43,28366,164
44,4156,85
45,14235,280
46,23995,321
47,16792,82
48,12862,165
49,6588,62
50,24669,347
51,20075,152
52,6231,53
53,14662,162
54,5178,121
55,16673,106
56,15136,75
57,15191,360
58,4696,79
59,13439,32
60,17814,123
61,11578,220
62,14866,351
63,4830,17
64,12744,115
65,15057,210
66,14420,91
67,15889,179
68,15040,143
69,16273,258
70,12481,84
71,6485,58
72,18131,243
73,14609,193
74,11183,386
75,15681,225
76,13108,225
77,22836,367
78,12145,307
79,15083,414
80,11790,194
81,6089,95
82,4463,10
83,12900,261
84,14439,231
85,12046,307
86,13464,202
87,15665,199
88,12292,335
89,15709,291
90,11458,248
91,13113,127
92,15918,410
93,15980,94
94,14289,143
95,13436,242
96,20133,199
97,16363,170
98,4380,19
99,5104,64
100,5997,177
101,14623,160
102,16629,169
103,16423,181
104,7826,46
105,18014,68
106,13497,71
107,8976,85
108,14585,114
109,8370,284
110,14910,178
111,21462,265
112,5495,31
113,12444,86
114,12446,101
