Leaf,TotalPacket,DropPacket
0,19043,29
1,8641,4
2,9239,2
3,10333,14
4,20437,21
5,10302,0
6,18641,32
7,10278,13
8,10892,35
9,10213,0
10,7189,46
11,10262,0
12,9925,0
13,20205,41
14,13306,8
15,6329,20
16,15784,3
17,22438,3
18,11602,53
19,10707,3
20,24096,51
21,18884,1
22,16136,1
23,13866,12
24,26118,33
25,10543,28
26,19829,0
27,26596,1
28,21124,28
29,13597,33
30,9610,12
31,4195,10
32,8302,14
33,12599,0
34,17074,4
35,21198,0
36,8860,13
37,14645,27
38,15416,1
39,16344,56
40,17528,2
41,12796,16
42,18871,31
43,30151,18
44,13615,18
45,10958,55
46,17217,29
47,15095,3
48,2734,14
49,7922,0
50,19872,0
51,10085,35
52,14862,12
53,14233,16
54,6307,1
55,18421,12
56,12491,16
57,7822,0
58,9929,0
59,12375,37
60,20014,0
61,11330,18
62,17856,4
63,13810,0
64,8933,8
65,10821,1
66,7940,0
67,10897,20
68,16026,0
69,12546,6
70,13383,19
71,8460,0
72,15974,13
73,17000,14
74,7692,7
75,18404,28
76,19848,4
77,9951,43
78,15464,56
79,14440,0
80,13169,16
81,13816,24
82,7605,0
83,14752,0
84,9981,2
85,4362,56
86,13114,0
87,18055,24
88,14706,46
89,9752,0
90,16208,0
91,10888,0
92,15571,12
93,11927,29
94,12792,24
95,12474,1
96,18497,0
97,17065,37
98,5922,11
99,11723,29
100,9980,0
101,13132,0
102,15695,37
103,14321,0
104,5320,0
105,17189,0
106,12509,21
107,10867,38
108,7264,1
109,12396,16
110,7578,0
111,17018,34
112,13711,7
113,13290,15
114,14921,16
