Leaf,TotalPacket,DropPacket
0,19107,248
1,12267,153
2,15509,146
3,15610,201
4,14606,181
5,12635,69
6,15605,340
7,14869,264
8,3805,110
9,8740,89
10,23152,56
11,16971,126
12,20023,261
13,16407,289
14,15846,236
15,18382,160
16,17072,187
17,17195,222
18,19997,217
19,12891,81
20,20427,388
21,19003,136
22,15407,171
23,13675,236
24,14859,166
25,5704,92
26,19522,333
27,21143,310
28,16411,197
29,6780,54
30,11110,76
31,3830,42
32,9227,82
33,15936,116
34,22211,384
35,18708,330
36,19090,105
37,19460,63
38,15013,177
39,13527,113
40,16899,202
41,19453,288
42,21493,276
43,27262,283
44,4254,66
45,14245,553
46,24014,286
47,17436,74
48,12774,372
49,6561,70
50,24157,526
51,20238,262
52,6268,49
53,13812,203
54,5319,118
55,15396,245
56,14920,77
57,15379,281
58,4448,114
59,12270,75
60,17623,215
61,11582,209
62,15210,333
63,5258,30
64,12809,125
65,15052,265
66,13977,136
67,15237,240
68,15283,128
69,15161,328
70,12003,128
71,6637,55
72,17710,293
73,14861,221
74,11645,412
75,15640,182
76,13728,195
77,23188,390
78,11671,452
79,15839,308
80,10666,173
81,5938,148
82,4723,12
83,13159,229
84,14108,140
85,11953,304
86,13068,294
87,15696,195
88,13390,259
89,15329,299
90,12100,345
91,12562,306
92,15618,477
93,15555,104
94,13669,193
95,14417,281
96,20019,227
97,16287,217
98,4486,31
99,5032,81
100,6751,126
101,14710,154
102,16195,171
103,16190,225
104,7775,45
105,17726,112
106,13175,71
107,8511,69
108,12880,166
109,10625,309
110,15059,171
111,20409,376
112,5661,40
113,12690,99
114,11830,210
