Leaf,TotalPacket,DropPacket
0,20439,29
1,14025,6
2,17113,45
3,15888,41
4,16861,11
5,14254,10
6,17972,8
7,16480,55
8,5063,30
9,8794,18
10,23371,60
11,13597,24
12,20741,56
13,19046,15
14,16970,27
15,19819,32
16,15282,20
17,18620,50
18,20950,51
19,14906,13
20,23199,50
21,20043,21
22,16090,25
23,15195,27
24,16139,38
25,6431,46
26,20563,69
27,22510,72
28,18153,43
29,7350,14
30,11638,14
31,4155,18
32,10469,25
33,15834,16
34,24587,88
35,20258,29
36,20364,18
37,19607,20
38,16143,0
39,14612,25
40,18600,20
41,20303,39
42,22338,17
43,28645,30
44,4185,12
45,15213,88
46,25455,26
47,17289,21
48,13525,32
49,6824,16
50,26338,34
51,21032,34
52,6831,18
53,15218,34
54,5314,27
55,16316,66
56,15490,9
57,16640,40
58,4838,5
59,12660,32
60,19024,35
61,13410,12
62,16518,39
63,3379,13
64,12256,31
65,16473,17
66,14571,13
67,15526,37
68,15403,59
69,17044,53
70,12588,42
71,6309,12
72,18843,22
73,15746,38
74,13342,29
75,17298,52
76,14123,68
77,24808,55
78,14115,119
79,18057,32
80,11709,49
81,6705,18
82,4444,0
83,10884,106
84,15165,42
85,14445,41
86,14979,14
87,16399,27
88,11980,18
89,17911,59
90,13037,49
91,14722,33
92,17345,41
93,17353,22
94,14503,24
95,15892,66
96,22702,44
97,17959,17
98,4648,11
99,5208,19
100,7078,26
101,16003,37
102,17016,25
103,17793,43
104,7695,15
105,17116,37
106,13633,4
107,9161,31
108,13918,9
109,10306,67
110,16583,32
111,18040,58
112,5624,3
113,12927,10
114,9588,49
