Leaf,TotalPacket,DropPacket
0,17819,206
1,11663,201
2,15469,175
3,14248,163
4,14636,175
5,11878,81
6,14612,367
7,13255,312
8,3556,131
9,8669,93
10,22473,91
11,16961,137
12,18555,270
13,16408,215
14,15051,205
15,17523,183
16,17114,124
17,17155,224
18,19286,198
19,13648,64
20,18616,333
21,18202,90
22,14916,166
23,12665,140
24,14801,151
25,5599,98
26,19368,332
27,20725,273
28,16122,191
29,6847,34
30,10793,84
31,3685,48
32,9064,89
33,15050,183
34,21648,309
35,16835,251
36,19111,104
37,18456,82
38,14633,144
39,12504,118
40,16643,200
41,18032,328
42,19578,277
43,25738,253
44,4249,79
45,13949,278
46,23148,274
47,16587,100
48,12025,176
49,6449,82
50,22658,484
51,18534,187
52,6122,48
53,13561,170
54,4803,119
55,15473,155
56,14575,73
57,14587,290
58,4461,77
59,12479,62
60,16680,173
61,11540,195
62,13989,354
63,4944,31
64,12438,150
65,14923,235
66,13047,135
67,14291,200
68,14891,118
69,15905,303
70,11853,103
71,6631,71
72,17654,304
73,14266,183
74,11536,329
75,16109,238
76,12793,316
77,21678,524
78,12364,234
79,15520,370
80,10010,206
81,5978,108
82,4730,7
83,12508,202
84,13598,153
85,11815,296
86,12012,305
87,15567,209
88,12562,349
89,14684,269
90,11366,270
91,11917,175
92,15775,376
93,15149,116
94,13603,162
95,14377,229
96,19939,216
97,15297,190
98,4559,16
99,4657,63
100,6539,163
101,14208,177
102,16026,175
103,15456,214
104,7364,52
105,15691,117
106,12772,80
107,8648,89
108,12397,126
109,9834,290
110,14884,191
111,20340,321
112,5521,30
113,11849,90
114,11419,153
