FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
0,69,685,0.000119,0.066214,0.066095
1,72,480,0.000151,0.0662353,0.0660843
4,12,469,0.000353,0.066516,0.066163
9,96,694,0.000871,0.067351,0.06648
10,26,786,0.000889,0.0674491,0.0665601
13,48,124,0.001017,0.0678732,0.0668562
15,78,250,0.001056,0.0680814,0.0670254
16,83,693,0.001097,0.0683242,0.0672272
17,114,469,0.001177,0.0685486,0.0673716
18,60,630,0.001229,0.0686618,0.0674328
22,62,263,0.001373,0.0688294,0.0674564
20,64,1051,0.001366,0.068933,0.067567
23,58,822,0.00153,0.0691992,0.0676692
29,55,328,0.001851,0.0701967,0.0683457
28,54,1903,0.001827,0.0703134,0.0684864
30,57,393,0.002039,0.0703277,0.0682887
31,34,215,0.002068,0.0703335,0.0682655
35,68,627,0.00233,0.0704868,0.0681568
33,27,2397,0.002312,0.070793,0.068481
32,103,3096,0.002294,0.070842,0.068548
38,95,663,0.002412,0.0709084,0.0684964
40,86,628,0.002516,0.0713206,0.0688046
41,110,429,0.00254,0.0714006,0.0688606
42,7,308,0.002609,0.071554,0.068945
43,21,202,0.002628,0.0715857,0.0689577
44,42,818,0.002716,0.0717091,0.0689931
48,81,741,0.002765,0.0718246,0.0690596
46,1,1832,0.002763,0.0720378,0.0692748
51,107,587,0.002951,0.0726058,0.0696548
57,84,221,0.003615,0.0738616,0.0702466
59,33,665,0.003797,0.0739527,0.0701557
60,41,600,0.003801,0.0739664,0.0701654
64,31,661,0.003888,0.0740911,0.0702031
66,74,630,0.004039,0.0745582,0.0705192
67,38,1069,0.004071,0.0747666,0.0706956
69,91,602,0.004165,0.0748982,0.0707332
78,104,490,0.005262,0.076425,0.071163
77,40,1340,0.005257,0.0764633,0.0712063
83,71,551,0.006684,0.0770669,0.0703829
84,47,419,0.006929,0.0773901,0.0704611
91,43,451,0.007836,0.0782223,0.0703863
92,11,513,0.00785,0.0782711,0.0704211
98,90,451,0.00806,0.0788446,0.0707846
99,108,616,0.008192,0.079406,0.071214
104,22,659,0.008441,0.0798032,0.0713622
105,19,351,0.008732,0.0803498,0.0716178
106,106,142,0.00898,0.0803515,0.0713715
108,9,185,0.011283,0.0805795,0.0692965
109,66,452,0.012413,0.0806126,0.0681996
110,5,671,0.012717,0.0806492,0.0679322
111,105,385,0.013181,0.0806629,0.0674819
112,49,689,0.013646,0.080703,0.067057
5,101,8883,0.000385,0.111336,0.110951
7,89,7394,0.000809,0.111763,0.110954
39,79,7019,0.002469,0.117101,0.114632
50,14,8223,0.00281,0.117827,0.115017
53,80,9927,0.003021,0.119036,0.116015
61,2,3405,0.003867,0.120358,0.116491
115,112,986,0.06139,0.128662,0.0672722
116,90,554,0.081116,0.147206,0.0660898
117,84,829,0.081633,0.147734,0.0661008
118,82,610,0.085306,0.151398,0.066092
119,103,592,0.089073,0.156101,0.0670278
36,50,7440,0.002341,0.165586,0.163245
62,35,5437,0.003874,0.169901,0.166027
121,68,272,0.109168,0.179178,0.0700105
123,41,220,0.112676,0.17943,0.066754
126,89,644,0.130092,0.196185,0.0660934
122,79,6188,0.110628,0.227135,0.116507
113,53,68337,0.034248,0.234043,0.199795
2,20,107544,0.000265,0.245556,0.245291
130,63,1184,0.193696,0.268354,0.0746578
8,111,125205,0.000855,0.300435,0.29958
11,109,128595,0.000917,0.302501,0.301584
45,100,25069,0.002761,0.309786,0.307025
74,63,58040,0.004364,0.312946,0.308582
134,50,665,0.285748,0.35454,0.068792
47,39,35933,0.002763,0.355555,0.352792
124,101,84686,0.115458,0.366175,0.250717
3,24,456587,0.00029,0.377391,0.377101
133,109,7453,0.267938,0.378245,0.110307
52,75,79355,0.002954,0.400247,0.397293
140,6,738,0.335827,0.403277,0.0674502
101,0,43982,0.008363,0.407387,0.399024
142,52,136,0.360648,0.426687,0.0660389
129,24,213491,0.165482,0.456819,0.291337
125,20,345913,0.128336,0.462774,0.334438
6,45,611128,0.000745,0.480251,0.479506
19,30,159186,0.00123,0.482982,0.481752
138,73,17406,0.329174,0.486455,0.157281
147,29,670,0.42926,0.497004,0.0677442
131,93,172356,0.220218,0.509567,0.289349
135,28,68192,0.318587,0.518394,0.199807
12,77,343870,0.000983,0.522938,0.521955
149,32,866,0.466803,0.535649,0.0688463
37,85,134863,0.002374,0.581602,0.579228
153,84,604,0.516509,0.58756,0.071051
154,66,499,0.536228,0.604403,0.0681745
150,26,9168,0.494153,0.604574,0.110421
155,103,515,0.546748,0.614974,0.0682262
27,73,152420,0.001649,0.618857,0.617208
146,45,46386,0.418906,0.620456,0.20155
136,114,347670,0.320811,0.657407,0.336596
157,35,706,0.594982,0.661635,0.0666534
158,28,484,0.604611,0.674354,0.0697431
159,65,243,0.610959,0.682176,0.0712166
160,35,681,0.611632,0.683,0.0713678
143,70,99509,0.388387,0.685832,0.297445
132,47,515992,0.262905,0.697448,0.434543
137,42,415419,0.328638,0.708185,0.379547
139,23,408300,0.329239,0.720538,0.391299
145,38,341399,0.409724,0.744232,0.334508
141,114,358538,0.343913,0.77742,0.433507
144,72,216059,0.400274,0.781612,0.381338
151,12,256328,0.50071,0.797422,0.296712
152,77,279761,0.5053,0.802495,0.297195
164,73,7595,0.712353,0.822594,0.110241
156,46,148760,0.579045,0.829868,0.250823
167,59,535,0.765039,0.831126,0.0660868
168,95,512,0.779233,0.846553,0.0673199
169,46,663,0.78396,0.850054,0.0660941
170,56,726,0.798852,0.865383,0.0665306
172,69,732,0.817745,0.883842,0.0660969
21,70,360634,0.001372,0.884544,0.883172
25,99,197458,0.001626,0.888693,0.887067
173,40,205,0.825225,0.891272,0.0660472
114,77,150291,0.052135,0.904516,0.852381
161,42,248729,0.633343,0.926692,0.293349
176,85,7913,0.913068,1.02332,0.110253
181,104,675,0.974507,1.04543,0.07092
162,69,331269,0.664666,1.04934,0.384678
58,76,736,0.003703,1.06985,1.06615
73,65,607,0.004244,1.0704,1.06615
182,29,336,1.00413,1.07063,0.0665023
165,70,348809,0.737483,1.07163,0.334147
87,16,649,0.007393,1.07348,1.06608
89,17,682,0.007574,1.07366,1.06608
183,13,672,1.00654,1.07374,0.0671963
166,92,301544,0.748212,1.08005,0.331838
185,10,180,1.03221,1.09827,0.0660653
171,82,154347,0.813446,1.10012,0.286669
90,102,103492,0.007728,1.12415,1.11642
175,73,125773,0.881577,1.12863,0.247057
163,97,504211,0.706954,1.13986,0.432909
188,77,408,1.08551,1.15203,0.0665139
102,23,8981,0.00839,1.17207,1.16368
103,3,51405,0.008417,1.17225,1.16383
190,40,620,1.13198,1.19964,0.0676644
191,100,638,1.13882,1.20493,0.0661124
192,63,245,1.14003,1.20608,0.066052
193,92,2275,1.14775,1.21566,0.0679146
100,67,31071,0.008352,1.21582,1.20747
189,99,7135,1.10851,1.21877,0.110256
177,80,211434,0.941239,1.23166,0.290425
174,38,394425,0.859034,1.24367,0.38464
86,93,118003,0.007339,1.26764,1.2603
178,48,343831,0.943301,1.28906,0.34576
194,100,2295,1.22684,1.29302,0.066179
63,18,167329,0.003887,1.29401,1.29012
180,40,302671,0.967329,1.30028,0.332949
72,51,206878,0.004235,1.34028,1.33605
198,57,627,1.29645,1.36727,0.0708262
34,53,348203,0.002322,1.37816,1.37584
197,88,7464,1.2885,1.3988,0.110306
187,46,283815,1.07081,1.41281,0.341998
184,87,434259,1.02165,1.41288,0.391236
85,87,178189,0.007027,1.43515,1.42813
202,89,648,1.36921,1.43532,0.0661071
179,90,595129,0.944662,1.4629,0.518236
204,33,4932,1.40707,1.47368,0.0666056
76,88,168756,0.004463,1.4753,1.47084
203,18,7290,1.37075,1.48105,0.110299
206,60,529,1.44569,1.51177,0.066086
128,70,347013,0.154722,1.53089,1.37617
209,48,612,1.4788,1.54489,0.0660921
210,66,828,1.48083,1.54693,0.0661007
195,26,294183,1.23198,1.56352,0.331539
200,32,63177,1.3674,1.56943,0.20203
214,45,627,1.51807,1.58417,0.0660927
215,39,418,1.52236,1.58843,0.0660727
70,28,244027,0.004181,1.605,1.60082
201,64,79179,1.36776,1.61374,0.245981
196,14,298075,1.28819,1.62249,0.334298
199,67,341882,1.30477,1.63877,0.334002
96,15,340691,0.008005,1.66319,1.65519
216,37,5666,1.55397,1.66458,0.110615
88,29,344916,0.00746,1.66968,1.66222
220,108,295,1.60533,1.67139,0.066058
223,2,156,1.66373,1.73125,0.067515
71,94,239778,0.004185,1.73678,1.73259
224,111,578,1.67637,1.74556,0.0691838
80,98,244431,0.006167,1.747,1.74083
205,90,348914,1.43884,1.77436,0.335519
226,34,357,1.71244,1.7791,0.0666562
75,37,399197,0.004391,1.78485,1.78046
211,67,213516,1.49541,1.78524,0.289833
229,76,750,1.73843,1.80917,0.0707346
232,111,3452,1.75063,1.81767,0.0670367
233,89,303,1.75397,1.82006,0.0660891
235,97,4645,1.75798,1.82424,0.0662685
68,13,309155,0.004161,1.82543,1.82126
237,15,588,1.7749,1.84103,0.0661302
239,50,627,1.78172,1.84807,0.0663484
240,67,712,1.78721,1.85389,0.0666732
148,34,304166,0.435353,1.85436,1.41901
208,39,341917,1.46471,1.8548,0.390092
221,4,39046,1.65557,1.85908,0.203505
242,61,574,1.79392,1.86159,0.0676685
94,36,247995,0.007925,1.88403,1.87611
212,7,305261,1.50151,1.88416,0.382647
245,46,795,1.82357,1.88983,0.0662615
247,101,240,1.8258,1.89231,0.0665038
248,65,687,1.82822,1.89431,0.0660951
222,108,92773,1.66057,1.90637,0.245799
186,39,323680,1.03901,1.90922,0.870212
250,85,642,1.84387,1.91006,0.0661925
251,69,676,1.84712,1.91321,0.0660946
213,103,348380,1.50775,1.93298,0.425228
249,73,7421,1.8329,1.94425,0.111354
253,28,1124,1.89299,1.95916,0.0661716
228,25,94756,1.71894,1.96874,0.249803
254,11,119,1.90965,1.97718,0.0675283
256,52,604,1.91587,1.98197,0.0660994
218,26,304851,1.56505,1.99341,0.428355
241,69,69264,1.79229,1.9966,0.204307
231,68,92858,1.74899,1.99757,0.24858
255,9,7486,1.91431,2.03064,0.11633
260,24,632,1.96121,2.03159,0.0703813
258,79,7196,1.91891,2.03191,0.113001
261,40,4957,1.96414,2.03281,0.0686718
259,9,7400,1.9227,2.0358,0.113104
230,47,240473,1.74076,2.03778,0.297021
227,19,282121,1.71879,2.06317,0.344385
107,32,347776,0.0093,2.06863,2.05933
257,72,13731,1.91677,2.07557,0.158802
56,10,293483,0.003411,2.08649,2.08308
243,0,230100,1.79958,2.09264,0.293062
244,84,147410,1.80543,2.10182,0.29639
263,50,1131,2.03448,2.10473,0.070249
238,107,272193,1.77985,2.11997,0.340125
