FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
0,69,536,0.000119,0.0662059,0.0660869
1,72,423,0.000151,0.0662243,0.0660733
4,12,429,0.000353,0.0665128,0.0661598
9,96,696,0.000871,0.0673496,0.0664786
10,26,631,0.000889,0.0674414,0.0665524
13,48,138,0.001017,0.0678666,0.0668496
15,78,258,0.001056,0.0680748,0.0670188
17,83,678,0.001097,0.0683162,0.0672192
18,114,413,0.001177,0.0685367,0.0673597
19,60,664,0.001229,0.0686785,0.0674495
16,61,465,0.001061,0.0687385,0.0676775
23,62,271,0.001373,0.0688446,0.0674716
21,64,751,0.001366,0.0689239,0.0675579
29,73,1216,0.001649,0.0696714,0.0680224
33,55,308,0.001851,0.0702653,0.0684143
30,44,1674,0.001681,0.0705646,0.0688836
34,57,356,0.002039,0.0707648,0.0687258
35,34,133,0.002068,0.0708148,0.0687468
32,54,5028,0.001847,0.0710537,0.0692067
36,103,706,0.002294,0.0710906,0.0687966
39,68,608,0.00233,0.0711729,0.0688429
37,27,1071,0.002312,0.0711964,0.0688844
40,50,1123,0.002341,0.0712736,0.0689326
42,95,637,0.002412,0.0714062,0.0689942
43,79,1006,0.002469,0.0716092,0.0691402
44,86,585,0.002516,0.0717126,0.0691966
45,110,484,0.00254,0.0717578,0.0692178
46,7,259,0.002609,0.0718342,0.0692252
47,21,289,0.002628,0.0718513,0.0692233
48,42,826,0.002716,0.0719007,0.0691847
51,1,757,0.002763,0.0720558,0.0692928
54,79,767,0.002771,0.0720912,0.0693202
57,14,2156,0.00281,0.0727009,0.0698909
58,107,4114,0.002951,0.0738751,0.0709241
65,84,304,0.003615,0.0750994,0.0714844
66,76,605,0.003703,0.0751629,0.0714599
67,33,555,0.003797,0.0751956,0.0713986
68,41,508,0.003801,0.0752122,0.0714112
69,2,868,0.003867,0.0752794,0.0714124
70,35,1233,0.003874,0.0753669,0.0714929
74,74,592,0.004039,0.0757532,0.0717142
72,31,4664,0.003888,0.0758842,0.0719962
75,38,619,0.004071,0.0759016,0.0718306
77,91,666,0.004165,0.0761009,0.0719359
81,65,631,0.004244,0.0763944,0.0721504
85,40,746,0.005257,0.0778423,0.0725853
86,104,4808,0.005262,0.0780435,0.0727815
89,65,353,0.006307,0.0784365,0.0721295
92,71,4931,0.006684,0.079212,0.072528
93,47,213,0.006929,0.0792355,0.0723065
96,16,597,0.007393,0.0795899,0.0721969
98,17,685,0.007574,0.0799172,0.0723432
100,43,590,0.007836,0.0801795,0.0723435
101,11,479,0.00785,0.0802222,0.0723722
107,90,303,0.00806,0.0808088,0.0727488
108,108,455,0.008192,0.081451,0.073259
113,22,584,0.008441,0.0818939,0.0734529
115,106,158,0.00898,0.0825493,0.0735693
114,19,460,0.008732,0.0825508,0.0738188
116,15,436,0.009066,0.0825822,0.0735162
118,9,249,0.011283,0.0828272,0.0715442
119,66,424,0.012413,0.0828554,0.0704424
120,5,478,0.012717,0.082881,0.070164
121,84,724,0.01275,0.0829188,0.0701688
122,105,294,0.013181,0.0829252,0.0697442
123,41,280,0.013251,0.0829402,0.0696892
125,21,674,0.013847,0.0831984,0.0693514
124,49,5312,0.013646,0.0832182,0.0695722
126,91,740,0.015207,0.0832562,0.0680492
24,58,5497,0.00153,0.114886,0.113356
27,99,9583,0.001626,0.11568,0.114054
31,54,5751,0.001827,0.116141,0.114314
26,25,7482,0.00162,0.116266,0.114646
50,100,7129,0.002761,0.117452,0.114691
53,81,6719,0.002765,0.117542,0.114777
56,100,5511,0.002801,0.118609,0.115808
82,63,7017,0.004364,0.123728,0.119364
88,98,11352,0.006167,0.125322,0.119155
128,112,5214,0.06139,0.132396,0.0710064
131,82,5058,0.085306,0.151593,0.0662872
60,80,18334,0.003021,0.170493,0.167472
133,86,635,0.112935,0.195337,0.0824024
129,58,6823,0.072559,0.195402,0.122843
137,73,1018,0.131964,0.198072,0.0661083
28,44,37462,0.001638,0.21803,0.216392
139,84,556,0.141958,0.231187,0.0892291
142,11,214,0.151525,0.261836,0.110311
141,100,7327,0.148491,0.337287,0.188796
148,108,202,0.210631,0.343073,0.132442
149,60,672,0.210937,0.343568,0.132631
150,68,474,0.211023,0.343683,0.13266
143,81,6337,0.170823,0.354177,0.183354
154,90,333,0.224334,0.361153,0.136819
5,101,120639,0.000385,0.361906,0.361521
144,82,8132,0.18063,0.365627,0.184997
158,10,277,0.252045,0.38982,0.137775
159,103,328,0.270845,0.404332,0.133487
161,34,244,0.278181,0.410415,0.132234
111,23,90852,0.00839,0.418103,0.409713
162,11,853,0.313005,0.436343,0.123338
163,79,1194,0.319312,0.440969,0.121657
165,76,753,0.321079,0.442423,0.121344
14,61,256125,0.001023,0.492813,0.49179
160,44,11679,0.272874,0.519089,0.246215
178,92,794,0.44549,0.532619,0.0871292
181,111,406,0.473079,0.547518,0.0744388
183,59,332,0.475683,0.549999,0.0743161
184,43,551,0.486827,0.558965,0.0721379
173,71,6924,0.423333,0.559174,0.135841
185,65,636,0.491567,0.56346,0.0718929
175,63,7083,0.430916,0.565396,0.13448
187,7,874,0.49458,0.566939,0.0723594
188,73,1008,0.506579,0.577543,0.0709641
20,30,269290,0.00123,0.586287,0.585057
22,70,340724,0.001372,0.587806,0.586434
87,52,140767,0.005859,0.607243,0.601384
193,51,218,0.541909,0.609779,0.0678703
186,44,5400,0.492774,0.610122,0.117348
94,87,204483,0.007027,0.610138,0.603111
97,29,181129,0.00746,0.61203,0.60457
195,40,210,0.546738,0.613883,0.0671454
164,28,75852,0.319399,0.630836,0.311437
196,85,1237,0.568725,0.636354,0.0676293
59,75,218685,0.002954,0.644947,0.641993
80,51,218839,0.004235,0.652588,0.648353
197,3,663,0.583659,0.656473,0.0728137
192,29,6575,0.54056,0.657733,0.117173
194,98,7124,0.543904,0.658851,0.114947
153,77,304393,0.220836,0.669185,0.448349
201,73,1240,0.613448,0.685856,0.0724078
168,81,233090,0.337028,0.699147,0.362119
202,2,126,0.623616,0.705371,0.0817548
203,79,576,0.625207,0.70667,0.0814627
204,66,340,0.640775,0.721556,0.0807812
206,44,5225,0.647017,0.725719,0.0787018
207,110,667,0.648363,0.726059,0.0776957
208,67,799,0.65431,0.73302,0.0787102
182,16,112137,0.474793,0.743637,0.268844
209,67,346,0.663201,0.744521,0.0813198
210,102,575,0.665534,0.748461,0.0829274
174,71,161220,0.423333,0.760093,0.33676
198,82,7948,0.584762,0.762878,0.178116
166,42,339062,0.323,0.785648,0.462648
167,67,341471,0.33146,0.789674,0.458214
172,67,272161,0.411379,0.803443,0.392064
191,45,124695,0.540183,0.811495,0.271312
99,102,149995,0.007728,0.815574,0.807846
214,67,1010,0.739237,0.816539,0.0773021
176,110,265227,0.432069,0.818126,0.386057
218,47,631,0.751467,0.828172,0.076705
179,43,244205,0.457736,0.829077,0.371341
222,33,645,0.764569,0.837815,0.0732465
171,39,341899,0.410237,0.842894,0.432657
190,21,249410,0.528737,0.848265,0.319528
76,13,304968,0.004161,0.850485,0.846324
71,18,306886,0.003887,0.850546,0.846659
78,28,301856,0.004181,0.851165,0.846984
225,74,647,0.796228,0.86599,0.0697624
127,8,265109,0.034334,0.866705,0.832371
219,98,6094,0.75746,0.877784,0.120324
227,71,5262,0.836124,0.903042,0.0669182
228,19,637,0.838867,0.905727,0.06686
230,40,646,0.847538,0.916918,0.06938
231,48,694,0.858576,0.928136,0.0695599
224,62,16576,0.771086,0.934464,0.163378
232,22,1009,0.875634,0.942999,0.0673647
199,40,301165,0.586233,0.945447,0.359214
233,59,240,0.887464,0.955604,0.0681397
200,106,344364,0.607413,0.972096,0.364683
234,106,1258,0.900157,0.973692,0.0735347
180,90,630284,0.469738,0.98278,0.513042
130,34,347036,0.078772,1.00616,0.927385
205,19,342899,0.646823,1.01467,0.367849
240,76,664,0.946341,1.02028,0.0739405
235,3,11565,0.902796,1.02332,0.120523
241,39,376,0.959193,1.0395,0.0803094
213,0,155231,0.729077,1.04924,0.32016
242,67,624,0.969427,1.04983,0.0804075
117,32,191371,0.0093,1.06038,1.05108
216,34,155251,0.746656,1.06322,0.31656
246,51,677,0.990406,1.06861,0.0782078
217,47,258630,0.750578,1.0712,0.320624
211,14,344110,0.719883,1.09848,0.378601
215,7,276744,0.742012,1.11569,0.373675
250,56,699,1.02789,1.11776,0.0898716
251,95,683,1.03769,1.12113,0.0834372
252,40,1191,1.04044,1.12149,0.0810523
189,74,341899,0.517835,1.12255,0.60472
220,11,266371,0.761523,1.12364,0.362117
221,31,288437,0.763764,1.13061,0.366847
253,73,1061,1.06181,1.14207,0.0802628
212,0,304760,0.729061,1.144,0.414934
135,46,221840,0.124801,1.16255,1.03775
236,16,131128,0.906106,1.1747,0.268591
257,22,892,1.11241,1.17852,0.0661079
258,48,679,1.11332,1.17941,0.0660948
223,59,329334,0.768184,1.18033,0.41215
84,88,215169,0.004463,1.18938,1.18492
91,97,303474,0.006667,1.19117,1.1845
229,78,215913,0.841236,1.20024,0.359003
259,97,767,1.13588,1.2032,0.0673182
6,45,605357,0.000745,1.21027,1.20953
247,59,71688,0.99927,1.21468,0.215408
261,28,356,1.15408,1.22014,0.0660653
237,12,268538,0.912923,1.23308,0.320158
249,98,55029,1.0214,1.2479,0.226499
238,71,196575,0.931268,1.25043,0.319163
152,77,233635,0.220778,1.25411,1.03333
245,64,142928,0.97895,1.25565,0.276703
226,39,340281,0.822665,1.271,0.448334
264,11,717,1.20716,1.27394,0.0667795
266,84,422,1.21082,1.27931,0.0684937
110,0,118115,0.008363,1.28071,1.27235
267,11,1128,1.21621,1.28326,0.0670539
7,89,85376,0.000809,1.32748,1.32667
8,111,217933,0.000855,1.3289,1.32804
11,109,95494,0.000917,1.33276,1.33184
244,67,346855,0.970614,1.34085,0.370238
239,71,128565,0.931307,1.34312,0.411812
260,2,69303,1.14114,1.34569,0.204549
25,25,183281,0.001583,1.34603,1.34445
138,58,7333,0.13977,1.35969,1.21992
243,67,507118,0.97053,1.3761,0.405568
112,3,199333,0.008417,1.39287,1.38446
255,39,212768,1.09494,1.39911,0.304166
2,20,241005,0.000265,1.40513,1.40486
274,2,892,1.32974,1.40551,0.0757754
52,39,87006,0.002763,1.40872,1.40595
140,84,227575,0.142027,1.41458,1.27255
62,8,179015,0.003265,1.4151,1.41183
275,34,173,1.34355,1.41696,0.0734071
248,97,484731,1.02031,1.42566,0.405357
41,85,143694,0.002374,1.42664,1.42426
79,94,197936,0.004185,1.44069,1.4365
254,95,370207,1.09215,1.44101,0.348862
277,45,655,1.37559,1.44545,0.0698663
256,20,348239,1.10354,1.44697,0.34343
95,93,131298,0.007339,1.45226,1.44492
269,36,64994,1.25,1.46096,0.210962
280,89,552,1.40657,1.47508,0.068514
132,70,341083,0.09005,1.48009,1.39004
262,38,322142,1.15541,1.50226,0.346854
49,7,287312,0.002756,1.50437,1.50162
73,6,341964,0.003973,1.51567,1.5117
279,82,11983,1.39982,1.52207,0.122244
105,15,347481,0.008005,1.52593,1.51793
270,0,112505,1.26801,1.52831,0.2603
263,38,356743,1.1965,1.54022,0.343717
268,106,172344,1.24664,1.54291,0.296271
156,102,204464,0.237682,1.57737,1.33969
272,56,215463,1.30018,1.6067,0.306521
12,77,340497,0.000983,1.6274,1.62642
281,71,48158,1.42052,1.62989,0.20937
271,79,345909,1.298,1.64378,0.345785
285,45,474,1.58002,1.64896,0.0689375
287,76,479,1.58296,1.6514,0.0684391
273,90,346402,1.31439,1.66672,0.352328
290,35,601,1.5943,1.66675,0.0724468
291,35,579,1.59447,1.66687,0.0724018
151,76,345961,0.213338,1.66948,1.45614
292,19,582,1.59836,1.67016,0.071802
293,89,520,1.59929,1.67191,0.0726103
276,47,239552,1.37271,1.67743,0.304725
296,79,637,1.61491,1.681,0.0660931
64,10,345897,0.003411,1.69206,1.68865
288,98,7044,1.5846,1.69732,0.112724
104,46,344327,0.007964,1.70253,1.69456
55,56,433502,0.002789,1.71124,1.70845
109,67,166611,0.008352,1.7147,1.70635
61,42,781174,0.003083,1.73196,1.72887
265,84,868520,1.21076,1.74327,0.532511
278,95,347372,1.39711,1.75263,0.355519
302,98,2273,1.6912,1.75737,0.066165
134,1,208753,0.120698,1.75789,1.63719
299,44,7113,1.64775,1.75803,0.110286
303,12,675,1.69244,1.75877,0.0663297
282,5,324589,1.427,1.76666,0.339659
304,84,490,1.70543,1.77152,0.0660885
305,74,668,1.71655,1.78265,0.0660943
147,41,181138,0.21024,1.79665,1.58641
313,93,697,1.75074,1.81686,0.066119
316,84,597,1.7574,1.82369,0.0662888
102,4,589977,0.007916,1.83678,1.82886
284,72,246457,1.54361,1.84352,0.299909
317,19,748,1.77578,1.84355,0.0677672
283,47,347365,1.5023,1.85093,0.348637
308,99,7212,1.73975,1.8534,0.113642
309,44,5496,1.74579,1.85793,0.112138
286,93,157792,1.58137,1.87132,0.289947
321,89,336,1.81585,1.88781,0.071963
323,29,3344,1.82658,1.89288,0.0662962
294,38,211697,1.60025,1.8978,0.297553
295,4,158740,1.60896,1.9033,0.294344
301,70,141574,1.65895,1.90798,0.249026
318,98,6837,1.79605,1.90984,0.113788
146,55,359919,0.20329,1.92534,1.72205
324,20,301,1.85872,1.93237,0.073653
289,3,341772,1.58816,1.93372,0.345558
320,8,7104,1.81458,1.93442,0.119842
103,36,238037,0.007925,1.93473,1.9268
