FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
450,87,458,0.013863,0.0842258,0.0703628
602,99,123,0.020869,0.0911923,0.0703233
625,99,2905,0.025571,0.0951025,0.0695315
630,107,1475,0.026134,0.0959258,0.0697918
635,45,762,0.030924,0.0970221,0.0660981
636,95,762,0.032591,0.0986891,0.0660981
638,65,762,0.034424,0.100522,0.0660981
2,72,11489,0.000158,0.112881,0.112723
644,69,275,0.054877,0.129141,0.0742644
665,8,575,0.082545,0.148843,0.0662978
668,104,324,0.082965,0.149043,0.0660775
674,98,575,0.085447,0.152111,0.0666641
681,57,462,0.107372,0.181829,0.0744574
682,67,377,0.107791,0.182223,0.074432
493,33,10753,0.01603,0.182961,0.166931
683,45,363,0.109771,0.184158,0.0743865
684,95,363,0.111438,0.185972,0.0745343
685,14,377,0.112808,0.187219,0.0744114
686,65,363,0.11327,0.187781,0.0745105
659,52,4897,0.06846,0.191056,0.122596
664,8,6794,0.082514,0.195561,0.113047
666,8,8617,0.082583,0.195709,0.113126
669,104,7294,0.083055,0.19593,0.112875
667,8,9310,0.082671,0.195972,0.113301
673,98,6794,0.085416,0.196982,0.111566
675,98,8617,0.085485,0.197467,0.111982
676,98,9310,0.085573,0.197676,0.112103
1,72,62058,0.000151,0.201669,0.201518
4,24,41029,0.00029,0.202202,0.201912
692,9,258,0.143292,0.217507,0.0742145
693,83,423,0.148834,0.223484,0.0746499
696,71,258,0.156937,0.231388,0.0744506
595,92,10753,0.020253,0.235366,0.215113
705,70,463,0.165266,0.239755,0.0744893
627,67,28971,0.025737,0.240256,0.214519
710,100,463,0.166655,0.241391,0.0747363
689,112,5121,0.123921,0.243116,0.119195
691,107,4808,0.12503,0.243248,0.118218
714,76,2560,0.171396,0.243511,0.0721152
716,74,2560,0.171732,0.243532,0.0718002
721,54,2987,0.178631,0.250304,0.0716731
725,8,4712,0.182876,0.257582,0.0747059
729,98,4712,0.185778,0.260195,0.0744167
731,47,494,0.193497,0.26774,0.074243
733,52,4405,0.203767,0.27862,0.0748531
734,44,2659,0.209118,0.283591,0.074473
736,58,5310,0.210666,0.285332,0.0746658
704,70,7810,0.165218,0.287798,0.12258
661,54,3655,0.070922,0.289091,0.218169
713,63,5794,0.167141,0.289327,0.122186
715,76,5794,0.171426,0.290634,0.119208
717,74,5794,0.171762,0.290682,0.11892
740,112,4058,0.219786,0.292886,0.0731
0,69,97058,0.000119,0.293863,0.293744
741,99,877,0.223154,0.295065,0.0719106
7,101,134116,0.000385,0.302545,0.30216
730,98,7245,0.185864,0.30664,0.120776
743,9,4058,0.239057,0.312016,0.0729593
744,9,2362,0.239175,0.312253,0.0730776
745,9,3909,0.239223,0.312606,0.0733834
119,35,11489,0.00388,0.314022,0.310142
746,17,877,0.242013,0.314738,0.0727254
749,63,4655,0.252989,0.327079,0.0740896
752,71,3558,0.258459,0.332353,0.0738935
754,27,463,0.25941,0.33299,0.0735804
753,112,4405,0.259299,0.333165,0.0738663
755,29,56,0.260153,0.333695,0.0735425
756,51,463,0.261333,0.334832,0.0734988
757,81,3688,0.2628,0.336005,0.0732047
758,81,1823,0.262828,0.336209,0.073381
709,100,7810,0.166607,0.336691,0.170084
