FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
24,30,441,0.00123,0.0704702,0.0692402
33,58,1341,0.00153,0.0729566,0.0714266
36,58,5244,0.001576,0.0758094,0.0742334
42,44,4852,0.001638,0.0761081,0.0744701
44,44,4372,0.001663,0.0771629,0.0754999
677,99,1675,0.020842,0.129185,0.108343
678,99,123,0.020869,0.129194,0.108325
679,99,2905,0.025571,0.12933,0.103759
680,95,762,0.032591,0.129372,0.0967806
682,9,4897,0.034238,0.129808,0.0955701
683,9,1475,0.034466,0.129876,0.0954098
684,40,563,0.038073,0.129905,0.0918318
145,38,7205,0.004071,0.181364,0.177293
172,38,8244,0.005049,0.190014,0.184965
176,88,6121,0.005252,0.191866,0.186614
686,33,162,0.050571,0.199223,0.148652
695,25,5121,0.064114,0.214794,0.15068
697,100,3188,0.067623,0.215581,0.147958
699,54,2558,0.070884,0.215886,0.145002
706,104,324,0.082965,0.216335,0.13337
685,98,6244,0.040096,0.216496,0.1764
711,20,377,0.099705,0.234939,0.135234
713,44,662,0.101426,0.23819,0.136764
715,95,363,0.111438,0.254212,0.142774
717,17,377,0.117573,0.26337,0.145797
718,99,694,0.123259,0.270837,0.147578
720,107,258,0.13496,0.28574,0.15078
721,40,394,0.143443,0.294005,0.150562
691,29,6244,0.060318,0.297311,0.236993
723,101,423,0.148122,0.298681,0.150559
702,8,6794,0.082514,0.302223,0.219709
726,32,1458,0.159641,0.309246,0.149605
728,25,4058,0.159979,0.310026,0.150047
730,49,258,0.163899,0.313407,0.149508
734,100,463,0.166655,0.31616,0.149505
736,81,5294,0.167073,0.316823,0.14975
47,78,20588,0.001746,0.319089,0.317343
742,54,2987,0.178631,0.327228,0.148597
743,31,458,0.182368,0.33025,0.147882
745,8,2177,0.182864,0.331399,0.148535
748,82,2622,0.183164,0.331704,0.14854
746,8,4712,0.182876,0.331888,0.149012
83,95,20243,0.002836,0.332764,0.329928
750,102,494,0.194295,0.341311,0.147016
752,44,2659,0.209118,0.354778,0.14566
754,58,5310,0.210666,0.356279,0.145613
170,100,20489,0.004904,0.356887,0.351983
173,18,12243,0.005056,0.357533,0.352477
757,23,575,0.211992,0.357564,0.145572
758,99,877,0.223154,0.367098,0.143944
759,57,649,0.228466,0.372856,0.14439
764,14,877,0.237249,0.38219,0.144941
705,8,9310,0.082671,0.383372,0.300701
727,25,5376,0.159911,0.390816,0.230905
729,112,6294,0.161345,0.392063,0.230718
21,77,40609,0.001118,0.39322,0.392102
765,13,484,0.251825,0.395551,0.143726
732,100,5617,0.166519,0.397342,0.230823
768,63,4655,0.252989,0.397818,0.144829
770,29,56,0.260153,0.40372,0.143567
712,44,10235,0.101338,0.403815,0.302477
771,51,463,0.261333,0.404944,0.143611
772,112,2938,0.2628,0.40651,0.14371
773,81,3688,0.2628,0.406613,0.143813
775,81,1823,0.262828,0.406888,0.14406
778,25,463,0.263338,0.407792,0.144454
777,112,1963,0.263073,0.407804,0.144731
781,25,2962,0.263705,0.408856,0.145151
782,98,2224,0.264685,0.409459,0.144774
741,54,4909,0.178614,0.410134,0.23152
785,49,3558,0.265421,0.410721,0.1453
788,52,4938,0.26931,0.414338,0.145028
790,52,262,0.269526,0.414709,0.145183
744,8,5974,0.18286,0.414756,0.231896
792,104,1475,0.27451,0.419232,0.144722
796,31,475,0.278096,0.423344,0.145248
751,25,4405,0.199491,0.430935,0.231444
164,91,30609,0.00476,0.439287,0.434527
803,23,923,0.300888,0.442455,0.141567
807,44,1218,0.309225,0.450114,0.140889
808,44,2748,0.309259,0.450315,0.141056
810,58,684,0.310887,0.452074,0.141187
811,15,1123,0.31296,0.454298,0.141338
812,57,818,0.313782,0.455093,0.141311
760,107,5376,0.230687,0.458546,0.227859
761,107,4058,0.230725,0.458945,0.22822
762,107,2362,0.230843,0.459181,0.228338
544,33,10753,0.01603,0.460809,0.444779
813,99,4712,0.320135,0.462226,0.142091
814,99,2622,0.320221,0.462436,0.142215
667,3,11243,0.019615,0.464944,0.445329
698,49,12243,0.068891,0.465819,0.396928
707,104,7294,0.083055,0.466406,0.383351
815,41,284,0.326294,0.467806,0.141512
818,92,447,0.329638,0.471121,0.141483
819,15,462,0.329765,0.471216,0.141451
822,50,512,0.331712,0.472835,0.141123
823,86,477,0.337739,0.477659,0.13992
767,63,6117,0.252871,0.478065,0.225194
776,112,4655,0.263056,0.48585,0.222794
780,25,6889,0.263687,0.486199,0.222512
783,98,4147,0.264694,0.487053,0.222359
825,32,1575,0.351096,0.489017,0.137921
827,74,399,0.351591,0.489625,0.138034
747,8,7245,0.182962,0.491289,0.308327
793,104,4558,0.274618,0.494561,0.219943
794,104,6810,0.274656,0.494753,0.220097
795,104,7319,0.274684,0.495415,0.220731
829,98,475,0.360421,0.496781,0.13636
830,98,55,0.360489,0.496888,0.136399
797,8,8092,0.278279,0.498283,0.220004
831,25,249,0.361715,0.49838,0.136665
832,25,2018,0.361716,0.498549,0.136833
833,25,4748,0.36174,0.49886,0.13712
834,25,2012,0.361797,0.498974,0.137177
798,8,7497,0.278353,0.499023,0.22067
835,25,3367,0.361839,0.499244,0.137405
799,54,5889,0.278525,0.499291,0.220766
118,53,52943,0.003457,0.499447,0.49599
836,81,2163,0.362479,0.5,0.137521
839,101,1062,0.36825,0.50506,0.13681
