FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
0,69,685,0.000119,0.066214,0.066095
1,72,380,0.000151,0.0662273,0.0660763
4,12,469,0.000353,0.066516,0.066163
11,96,594,0.000871,0.0673386,0.0664676
12,26,686,0.000889,0.0674411,0.0665521
8,89,4197,0.000809,0.0677471,0.0669381
15,48,124,0.001017,0.0678895,0.0668725
9,89,644,0.000809,0.0678953,0.0670863
17,78,250,0.001056,0.0681277,0.0670717
18,83,593,0.001097,0.0684334,0.0673364
20,114,469,0.001177,0.0687326,0.0675556
21,60,630,0.001229,0.0688952,0.0676662
25,62,163,0.001373,0.0691727,0.0677997
23,64,751,0.001366,0.0692799,0.0679139
26,58,1022,0.00153,0.0696449,0.0681149
32,55,328,0.001851,0.0706344,0.0687834
31,54,4758,0.001827,0.0708525,0.0690255
33,57,393,0.002039,0.0708668,0.0688278
34,34,315,0.002068,0.0708806,0.0688126
35,103,838,0.002294,0.0709316,0.0686376
38,68,627,0.00233,0.0710205,0.0686905
36,27,1097,0.002312,0.0710357,0.0687237
41,95,663,0.002412,0.0712963,0.0688843
39,50,2720,0.002341,0.0713636,0.0690226
43,86,628,0.002516,0.0716178,0.0691018
44,110,429,0.00254,0.0716742,0.0691342
45,7,408,0.002609,0.0718356,0.0692266
46,21,202,0.002628,0.0718633,0.0692353
47,42,718,0.002716,0.0719827,0.0692667
51,81,2852,0.002765,0.0725947,0.0698297
65,76,636,0.003703,0.0736286,0.0699256
66,33,465,0.003797,0.0736555,0.0698585
67,41,600,0.003801,0.0736866,0.0698856
68,2,862,0.003867,0.0737493,0.0698823
88,40,740,0.005257,0.0749949,0.0697379
95,71,4629,0.006684,0.0764342,0.0697502
96,47,519,0.006929,0.07649,0.069561
99,16,549,0.007393,0.0768066,0.0694136
101,17,682,0.007574,0.0771102,0.0695362
103,43,551,0.007836,0.077371,0.069535
104,11,513,0.00785,0.0774164,0.0695664
110,90,451,0.00806,0.0779898,0.0699298
119,19,351,0.008732,0.0788442,0.0701122
120,106,142,0.00898,0.0789166,0.0699366
123,9,385,0.011283,0.0794011,0.0681181
125,66,552,0.012413,0.0794615,0.0670485
126,5,471,0.012717,0.0796944,0.0669774
128,105,285,0.013181,0.0799409,0.0667599
129,50,665,0.013577,0.0799863,0.0664093
130,57,627,0.013603,0.0800179,0.0664149
132,49,4724,0.013646,0.0804194,0.0667734
133,102,698,0.014551,0.0806465,0.0660955
134,84,729,0.016664,0.0827608,0.0660968
138,9,3644,0.022825,0.0894795,0.0666545
139,66,499,0.023662,0.0897444,0.0660824
142,65,243,0.027529,0.0935807,0.0660517
144,11,219,0.037335,0.103384,0.0660488
5,101,7383,0.000385,0.111108,0.110723
7,45,8777,0.00075,0.112949,0.112199
42,79,7019,0.002469,0.117353,0.114884
146,29,3175,0.047743,0.119161,0.0714181
147,29,436,0.047743,0.119183,0.0714398
86,109,7453,0.004691,0.12008,0.115389
148,11,1140,0.049478,0.120495,0.071017
149,61,474,0.054085,0.125961,0.0718757
150,75,339,0.057297,0.126831,0.0695344
151,112,3215,0.06139,0.127634,0.0662435
153,50,627,0.062972,0.129065,0.0660927
136,9,8986,0.022779,0.13308,0.110301
137,9,8900,0.022819,0.133314,0.110495
156,82,5051,0.085306,0.151593,0.0662869
158,85,542,0.089233,0.156875,0.0676423
160,85,369,0.089327,0.157669,0.0683417
161,52,136,0.091243,0.161778,0.0705347
53,14,8723,0.00281,0.166215,0.163405
167,109,788,0.11649,0.182589,0.0660991
48,100,7013,0.002761,0.214071,0.21131
60,107,10585,0.003075,0.215106,0.212031
168,106,918,0.163834,0.229976,0.0661417
169,65,687,0.172833,0.238928,0.0660951
163,99,7135,0.097461,0.264916,0.167455
172,108,295,0.203759,0.277935,0.0741762
174,95,512,0.21178,0.278256,0.0664762
176,54,4243,0.214421,0.28222,0.0677989
177,54,641,0.214502,0.282301,0.067799
180,113,240,0.222993,0.295008,0.0720152
10,111,165205,0.000855,0.301676,0.300821
170,32,7332,0.200672,0.317917,0.117245
185,55,1248,0.249371,0.319817,0.0704455
187,42,480,0.267399,0.338286,0.070887
2,20,217544,0.000265,0.338689,0.338424
189,53,737,0.277907,0.346947,0.0690399
183,82,10434,0.236475,0.352585,0.11611
191,15,688,0.301708,0.36948,0.0677717
143,42,298729,0.036118,0.376725,0.340607
145,43,241156,0.037609,0.376938,0.339329
193,104,4937,0.311117,0.381124,0.0700072
