FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
24,30,400,0.00123,0.0704669,0.0692369
34,58,1304,0.00153,0.0729992,0.0714692
37,58,5048,0.001578,0.075649,0.074071
42,44,4936,0.001638,0.0760352,0.0743972
46,44,4368,0.001666,0.0770552,0.0753892
677,99,1664,0.020646,0.0965278,0.0758818
678,99,152,0.020675,0.0965382,0.0758632
679,99,2760,0.025326,0.096666,0.07134
680,95,784,0.032734,0.098833,0.066099
682,9,4840,0.035132,0.10141,0.0662785
683,9,1456,0.035361,0.101489,0.066128
684,40,540,0.038729,0.104818,0.0660892
698,54,2648,0.07062,0.149782,0.079162
699,54,3688,0.070653,0.149991,0.0793384
703,104,360,0.0822,0.150701,0.0685006
704,8,568,0.082223,0.151093,0.06887
685,98,6448,0.040164,0.152192,0.112028
710,82,2704,0.085306,0.152315,0.0670095
1,72,19400,0.000151,0.154792,0.154641
714,44,680,0.10157,0.185849,0.0842794
715,95,336,0.108467,0.192705,0.0842385
716,22,448,0.110089,0.194632,0.0845428
543,41,12200,0.016082,0.19952,0.183438
717,17,336,0.117712,0.202833,0.0851213
697,49,12896,0.068572,0.203991,0.135419
700,100,3120,0.070702,0.204015,0.133313
718,99,624,0.120646,0.204071,0.0834246
702,8,6656,0.082183,0.205086,0.122903
707,8,9208,0.082339,0.205883,0.123544
720,107,264,0.142544,0.228061,0.0855165
722,40,336,0.147932,0.234236,0.0863036
725,63,2704,0.156219,0.242874,0.0866549
733,49,264,0.16854,0.255146,0.0866062
734,32,1456,0.168583,0.255312,0.0867293
636,43,14800,0.018519,0.256551,0.238032
705,8,8680,0.082258,0.25962,0.177362
6,45,57800,0.000745,0.267608,0.266863
746,8,2136,0.18226,0.268409,0.0861487
747,8,4632,0.182272,0.268828,0.086556
749,82,2704,0.18514,0.271691,0.086551
21,77,40800,0.001113,0.282821,0.281708
43,73,42400,0.001649,0.285049,0.2834
721,112,7336,0.146299,0.286711,0.140412
753,44,2704,0.201624,0.287509,0.0858848
754,44,1248,0.201674,0.287662,0.0859877
752,58,5352,0.201541,0.287685,0.0861437
756,58,4576,0.201791,0.288493,0.0867022
758,57,648,0.220192,0.30684,0.086648
759,99,832,0.220569,0.307352,0.0867828
760,14,864,0.221267,0.307988,0.0867212
732,63,5616,0.166759,0.308048,0.141289
735,100,5672,0.170614,0.311366,0.140752
708,99,37000,0.082623,0.31403,0.231407
748,8,7072,0.182358,0.322075,0.139717
761,98,2288,0.240194,0.325305,0.0851108
762,98,4160,0.240203,0.325714,0.0855106
763,107,5048,0.242483,0.328266,0.0857831
765,107,2344,0.242628,0.328925,0.0862972
767,13,448,0.249047,0.334244,0.0851972
768,51,448,0.251,0.335912,0.0849123
751,25,4368,0.198964,0.337714,0.13875
771,63,4632,0.256314,0.341461,0.0851468
773,25,472,0.261363,0.346465,0.0851024
776,29,56,0.261426,0.346668,0.0852417
774,52,4840,0.261363,0.346906,0.0855434
779,25,1720,0.261483,0.347128,0.0856446
777,112,2760,0.261455,0.34718,0.0857252
778,112,5048,0.261465,0.347823,0.0863575
781,112,4632,0.261702,0.348485,0.0867828
726,112,6448,0.161387,0.356295,0.194908
495,79,12400,0.013458,0.359872,0.346414
738,100,7544,0.170702,0.365548,0.194846
795,31,472,0.279782,0.36571,0.0859282
798,104,1456,0.282144,0.368218,0.0860736
16,61,43000,0.001023,0.377037,0.376014
764,107,4160,0.242514,0.378762,0.136248
766,107,3800,0.242668,0.379068,0.1364
803,23,972,0.298973,0.3806,0.0816274
804,44,2704,0.301527,0.383093,0.081566
808,58,624,0.301676,0.383737,0.0820611
806,44,1608,0.301586,0.383952,0.0823656
809,44,1248,0.301696,0.384034,0.0823378
810,44,2704,0.301728,0.38428,0.0825524
28,62,121400,0.001373,0.384964,0.383591
811,15,1120,0.305267,0.385905,0.0806385
812,57,896,0.308525,0.38818,0.079655
755,58,13368,0.201685,0.388869,0.187184
769,63,8472,0.2562,0.389359,0.133159
770,63,6088,0.256203,0.389581,0.133378
772,63,8112,0.256346,0.389924,0.133578
775,52,10136,0.261393,0.395573,0.13418
813,99,4576,0.320526,0.400672,0.0801457
815,50,540,0.321235,0.401456,0.0802209
816,86,432,0.321321,0.401544,0.0802231
817,92,448,0.321595,0.401827,0.0802316
818,15,448,0.321597,0.401943,0.0803462
797,8,8264,0.282115,0.416727,0.134612
822,41,216,0.338739,0.418139,0.0794003
823,98,416,0.340099,0.418831,0.0787324
824,98,56,0.340164,0.418871,0.0787068
826,107,1456,0.34263,0.421229,0.0785992
10,26,143400,0.000889,0.422152,0.421263
827,74,324,0.349947,0.425232,0.0752846
828,101,1008,0.350986,0.425758,0.0747724
805,44,6032,0.301527,0.429202,0.127675
807,58,7072,0.301597,0.429352,0.127755
25,61,144600,0.001287,0.430472,0.429185
832,25,208,0.36144,0.432743,0.0713034
833,25,2080,0.361441,0.432992,0.0715507
834,25,4728,0.361468,0.433628,0.0721601
835,25,2080,0.361521,0.433889,0.0723676
836,25,3384,0.361562,0.434162,0.0725998
47,78,20400,0.001741,0.435391,0.43365
837,32,1512,0.368519,0.44138,0.0728606
81,95,20600,0.002831,0.441715,0.438884
713,44,10872,0.101482,0.441951,0.340469
782,25,6504,0.261702,0.441953,0.180251
846,81,2136,0.370891,0.443442,0.0725513
843,54,1816,0.370758,0.443511,0.0727528
844,54,4160,0.370778,0.444106,0.0733278
847,71,3120,0.372226,0.445901,0.0736752
814,99,2648,0.320606,0.44905,0.128444
793,100,8376,0.270769,0.453211,0.182442
849,31,2704,0.379895,0.453673,0.073778
850,31,1872,0.379952,0.453829,0.0738775
426,66,15400,0.012413,0.454266,0.441853
855,8,4216,0.382564,0.457652,0.075088
799,8,7488,0.282193,0.465838,0.183645
801,104,6808,0.282285,0.465949,0.183664
802,104,7432,0.282313,0.46599,0.183677
856,88,112,0.393021,0.467534,0.0745134
857,48,648,0.39358,0.468131,0.0745508
858,62,560,0.393661,0.468256,0.0745954
825,107,8528,0.342583,0.469867,0.127284
859,50,1008,0.396146,0.470178,0.0740319
860,86,224,0.39723,0.470842,0.0736116
862,44,3272,0.401576,0.474392,0.0728158
863,4,336,0.405233,0.476858,0.0716253
829,63,7072,0.356394,0.477261,0.120867
865,95,784,0.408534,0.478719,0.070185
830,52,7128,0.361377,0.480285,0.118908
831,52,6864,0.361396,0.480541,0.119145
838,32,5560,0.368611,0.487197,0.118586
839,71,5824,0.370623,0.487735,0.117112
840,54,9568,0.370685,0.488183,0.117498
842,100,6296,0.370726,0.488697,0.117971
845,54,5880,0.370867,0.489127,0.11826
848,71,8264,0.372327,0.490733,0.118406
866,99,1400,0.420664,0.491671,0.0710071
788,71,5824,0.270644,0.498684,0.22804
789,54,6032,0.270665,0.498708,0.228043
851,104,9360,0.382198,0.501773,0.119575
852,8,6296,0.382367,0.501815,0.119448
853,104,7696,0.38241,0.502131,0.119721
868,9,3744,0.435056,0.50862,0.073564
869,25,3536,0.441277,0.51404,0.0727634
871,107,3744,0.442564,0.51524,0.0726756
861,44,11440,0.40155,0.51922,0.11767
872,18,1232,0.451004,0.521381,0.0703769
26,64,68000,0.001366,0.522543,0.521177
873,63,3952,0.45629,0.525504,0.069214
48,54,108400,0.001827,0.52603,0.524203
724,8,206800,0.150353,0.527972,0.377619
875,6,336,0.460274,0.528341,0.0680667
874,18,1456,0.460253,0.528437,0.068184
877,112,3536,0.461446,0.529811,0.0683646
880,29,2760,0.461475,0.530395,0.0689203
881,112,2704,0.461572,0.530849,0.069277
884,52,4840,0.463474,0.533035,0.0695606
841,100,15392,0.370708,0.533234,0.162526
172,38,8400,0.005038,0.535291,0.530253
885,49,1304,0.468516,0.536014,0.0674983
886,49,2760,0.468538,0.536354,0.0678164
888,32,2704,0.468595,0.536407,0.0678118
887,49,4576,0.468555,0.536932,0.068377
891,81,2024,0.470626,0.539606,0.0689796
892,54,2440,0.470713,0.539975,0.0692622
894,81,4576,0.470765,0.540699,0.0699338
896,54,5200,0.470785,0.540936,0.0701512
895,81,2760,0.470773,0.541137,0.0703638
898,71,4992,0.470839,0.542118,0.0712786
785,49,9512,0.268607,0.54466,0.276053
516,74,29800,0.014241,0.549952,0.535711
499,27,10400,0.013562,0.550108,0.536546
902,31,832,0.479825,0.551092,0.0712667
907,104,3120,0.482313,0.554064,0.0717511
904,8,1816,0.482235,0.55416,0.0719247
905,8,4160,0.482268,0.554519,0.0722508
