FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
20,30,449,0.00123,0.070134,0.068904
24,58,1355,0.00153,0.0716642,0.0701342
28,44,4752,0.001638,0.0730546,0.0714166
31,58,5006,0.001674,0.0733403,0.0716663
122,106,120,0.00898,0.0944682,0.0854882
127,44,4414,0.011491,0.0955956,0.0841046
59,14,8283,0.00281,0.132433,0.129623
78,38,7451,0.004071,0.140424,0.136353
93,113,7585,0.006571,0.146075,0.139504
103,29,6199,0.007776,0.149244,0.141468
137,112,1982,0.06139,0.160966,0.0995758
134,97,12050,0.038783,0.162525,0.123742
144,82,2736,0.085306,0.162655,0.0773486
145,82,2673,0.085506,0.162774,0.0772685
1,72,19078,0.000151,0.163429,0.163278
148,25,5327,0.10144,0.206387,0.104947
150,59,154,0.108563,0.224539,0.115976
111,90,37862,0.00806,0.322364,0.314304
19,60,50829,0.001229,0.346574,0.345345
35,73,69045,0.001851,0.356847,0.354996
173,52,2739,0.234667,0.378807,0.14414
87,88,45597,0.004463,0.38774,0.383277
154,52,7647,0.127421,0.41079,0.283369
29,73,41661,0.001649,0.426855,0.425206
183,11,628,0.291721,0.42767,0.135949
170,98,6047,0.221802,0.441121,0.219319
74,31,91051,0.003888,0.455708,0.45182
88,51,53370,0.004986,0.461779,0.456793
98,93,56026,0.007339,0.465991,0.458652
191,10,350,0.355821,0.480759,0.124938
199,89,472,0.391487,0.510665,0.119178
200,82,2490,0.392187,0.511464,0.119277
201,10,103,0.398735,0.516884,0.118149
96,47,82084,0.006929,0.529375,0.522446
205,63,2693,0.415712,0.530326,0.114614
161,97,21355,0.174009,0.536185,0.362176
48,86,91609,0.002516,0.572426,0.56991
92,98,101908,0.006167,0.595536,0.589369
22,70,146186,0.001372,0.622954,0.621582
216,63,5865,0.472786,0.646104,0.173318
86,37,104082,0.004391,0.656967,0.652576
220,63,8373,0.4828,0.657243,0.174443
61,75,115312,0.002954,0.70917,0.706216
219,35,11743,0.475808,0.714167,0.238359
230,112,6577,0.541817,0.714238,0.172421
186,41,25803,0.327465,0.717087,0.389622
221,18,12671,0.48634,0.724284,0.237944
141,100,20217,0.074441,0.740772,0.666331
212,107,68340,0.437896,0.74814,0.310244
237,63,6213,0.580438,0.753831,0.173393
156,26,96760,0.143662,0.758958,0.615296
245,112,6403,0.623053,0.792386,0.169333
246,63,4558,0.63864,0.807981,0.169341
228,17,14488,0.531752,0.827161,0.295409
187,41,114370,0.32822,0.836819,0.508599
206,60,78999,0.417716,0.846573,0.428857
243,112,7326,0.622047,0.84786,0.225813
193,18,82481,0.372415,0.870419,0.498004
56,39,132033,0.002763,0.881787,0.879024
102,102,65314,0.007728,0.901741,0.894013
107,36,127326,0.007925,0.902883,0.894958
211,55,68548,0.431923,0.916019,0.484096
264,52,10197,0.781124,0.927715,0.146591
275,93,121,0.852592,0.939641,0.0870492
258,46,25217,0.736888,0.944392,0.207504
97,87,194328,0.007027,0.952643,0.945616
189,28,49689,0.347619,0.961745,0.614126
195,87,26471,0.375491,0.986088,0.610597
240,7,84777,0.607183,1.00035,0.393169
85,63,83313,0.004364,1.00715,1.00278
176,89,86152,0.253399,1.01187,0.758471
261,36,58419,0.75772,1.02153,0.263811
271,35,21189,0.830065,1.0378,0.207739
286,60,168,0.951674,1.04866,0.0969859
255,35,60296,0.723369,1.04986,0.326493
198,37,69849,0.389998,1.05328,0.663283
71,2,98824,0.003867,1.06397,1.0601
262,36,68838,0.757786,1.08339,0.325603
153,77,40348,0.119108,1.09127,0.972166
292,112,2775,1.01089,1.1071,0.0962052
295,52,243,1.02169,1.1174,0.0957137
241,60,83136,0.615118,1.125,0.509884
269,15,45161,0.808349,1.12975,0.321396
301,9,4835,1.08292,1.17526,0.0923402
288,67,17109,0.967238,1.17813,0.210895
185,41,134792,0.327369,1.17863,0.851261
89,40,66801,0.005257,1.18307,1.17781
99,16,133559,0.007393,1.1856,1.17821
302,9,1444,1.09958,1.18838,0.0887984
