FlowID,Leaf,Size,StartTime,EndTime,CompletionTime
24,30,462,0.00123,0.0704719,0.0692419
34,58,1324,0.00153,0.0730268,0.0714968
42,44,4904,0.001638,0.0761428,0.0745048
46,44,4359,0.001666,0.0771874,0.0755214
677,99,1682,0.020646,0.128762,0.108116
678,99,144,0.020675,0.128772,0.108097
679,99,2998,0.025326,0.12891,0.103584
680,95,727,0.032734,0.128952,0.0962181
682,9,4971,0.035132,0.129392,0.0942596
684,40,509,0.038729,0.129475,0.0907456
37,58,5432,0.001578,0.141627,0.140049
78,14,8329,0.00281,0.156626,0.153816
145,38,7227,0.004071,0.183795,0.179724
176,88,6270,0.00524,0.191447,0.186207
700,100,3222,0.070702,0.215431,0.144729
703,104,351,0.0822,0.215936,0.133736
711,20,384,0.098805,0.233203,0.134398
81,95,20631,0.002831,0.246261,0.24343
716,22,448,0.110089,0.251597,0.141508
718,99,648,0.120646,0.267509,0.146863
139,35,11208,0.003881,0.268937,0.265056
172,38,8287,0.005038,0.276975,0.271937
206,113,7552,0.006571,0.285217,0.278646
720,107,275,0.142544,0.292875,0.150331
722,40,390,0.147932,0.298658,0.150726
723,101,447,0.14899,0.299673,0.150683
697,49,12591,0.068572,0.301769,0.233197
699,54,3510,0.070653,0.301842,0.231189
734,32,1497,0.168583,0.317037,0.148454
47,78,20204,0.001741,0.317175,0.315434
743,31,475,0.179818,0.32719,0.147372
746,8,2126,0.18226,0.330083,0.147823
747,8,4595,0.182272,0.330408,0.148136
749,82,2632,0.18514,0.332879,0.147739
750,102,415,0.197875,0.343681,0.145806
753,44,2630,0.201624,0.347063,0.145439
757,23,563,0.210114,0.35469,0.144576
147,35,21125,0.004142,0.354831,0.350689
167,35,40070,0.004865,0.357928,0.353063
174,35,30553,0.005163,0.359181,0.354018
758,57,605,0.220192,0.363386,0.143194
759,99,849,0.220569,0.363615,0.143046
760,14,813,0.221267,0.364223,0.142956
662,3,11933,0.019477,0.379821,0.360344
706,104,7000,0.082293,0.380785,0.298492
705,8,8578,0.082258,0.380956,0.298698
707,8,9013,0.082339,0.381093,0.298754
761,98,2217,0.240194,0.382845,0.142651
762,98,4239,0.240203,0.383199,0.142996
763,107,5023,0.242483,0.385487,0.143004
765,107,2339,0.242628,0.386001,0.143373
766,107,3892,0.242668,0.386386,0.143718
730,52,5852,0.161471,0.390658,0.229187
767,13,486,0.249047,0.391244,0.142197
768,51,409,0.251,0.392942,0.141942
732,63,5521,0.166759,0.394923,0.228164
741,100,5260,0.170829,0.398795,0.227966
776,29,50,0.261426,0.402614,0.141188
773,25,444,0.261363,0.402673,0.14131
779,25,1789,0.261483,0.403115,0.141632
777,112,2974,0.261455,0.403177,0.141722
780,52,285,0.261563,0.404263,0.1427
784,25,2890,0.26172,0.404507,0.142787
781,112,4630,0.261702,0.40463,0.142928
786,49,3617,0.268672,0.410945,0.142273
745,8,5753,0.182256,0.411092,0.228836
748,8,7169,0.182358,0.411508,0.22915
790,81,3526,0.270676,0.413104,0.142428
791,81,1810,0.270702,0.413515,0.142813
795,31,419,0.279782,0.421712,0.14193
798,104,1415,0.282144,0.424075,0.141931
800,104,4512,0.282249,0.424668,0.142419
752,58,5474,0.201541,0.429449,0.227908
165,91,31760,0.004739,0.436923,0.432184
803,23,918,0.298973,0.438659,0.139686
808,58,683,0.301676,0.440653,0.138977
806,44,1698,0.301586,0.440818,0.139232
809,44,1220,0.301696,0.440933,0.139237
810,44,2536,0.301728,0.441205,0.139477
212,38,12822,0.006666,0.446682,0.440016
812,57,863,0.308525,0.446912,0.138387
402,62,16388,0.011625,0.453169,0.441544
695,29,6375,0.061517,0.459215,0.397698
815,50,596,0.321235,0.459996,0.138761
816,86,412,0.321321,0.4602,0.138879
817,92,475,0.321595,0.460441,0.138846
818,15,451,0.321597,0.46046,0.138863
21,77,40168,0.001113,0.470007,0.468894
822,41,286,0.338739,0.473609,0.13487
769,63,8398,0.2562,0.474629,0.218429
824,98,68,0.340164,0.474641,0.134477
770,63,6291,0.256203,0.474937,0.218734
771,63,4737,0.256314,0.475291,0.218977
826,107,1434,0.34263,0.477321,0.134691
774,52,4979,0.261363,0.479265,0.217902
782,25,6998,0.261702,0.47969,0.217988
778,112,5418,0.261465,0.479707,0.218242
827,74,324,0.349947,0.483577,0.13363
828,101,1066,0.350986,0.484319,0.133333
788,71,5689,0.270644,0.486477,0.215833
787,54,5887,0.270617,0.486529,0.215912
789,54,6151,0.270665,0.486818,0.216153
832,25,299,0.36144,0.493241,0.131801
833,25,2096,0.361441,0.493508,0.132067
834,25,4712,0.361468,0.494048,0.13258
836,25,3272,0.361562,0.494654,0.133092
797,8,8373,0.282115,0.496705,0.21459
801,104,6908,0.282285,0.497018,0.214733
837,32,1511,0.368519,0.500649,0.13213
755,58,13105,0.201685,0.501365,0.29968
843,54,1868,0.370758,0.50297,0.132212
844,54,4190,0.370778,0.503542,0.132764
847,71,3179,0.372226,0.50468,0.132454
850,31,1863,0.379952,0.510764,0.130812
807,58,7464,0.301597,0.511425,0.209828
855,8,4248,0.382564,0.513904,0.13134
856,88,142,0.393021,0.523659,0.130638
857,48,691,0.39358,0.524264,0.130684
858,62,535,0.393661,0.524326,0.130665
859,50,1042,0.396146,0.526828,0.130682
860,86,202,0.39723,0.527819,0.130589
577,87,10762,0.016832,0.5298,0.512968
813,99,4661,0.320526,0.530274,0.209748
862,44,3415,0.401576,0.532875,0.131299
702,8,6699,0.082183,0.533583,0.4514
863,4,315,0.405233,0.534653,0.12942
865,95,748,0.408534,0.536753,0.128219
866,99,1412,0.420664,0.545436,0.124772
775,52,10441,0.261393,0.54885,0.287457
785,49,9875,0.268607,0.553796,0.285189
793,100,8218,0.270769,0.555967,0.285198
829,63,7220,0.356394,0.557627,0.201233
871,107,3510,0.442564,0.56189,0.119326
830,52,7092,0.361377,0.562159,0.200782
831,52,6983,0.361396,0.562376,0.20098
799,8,7113,0.282193,0.564556,0.282363
802,104,7447,0.282313,0.564802,0.282489
872,18,1205,0.451004,0.567811,0.116807
838,32,5621,0.368611,0.568146,0.199535
840,54,9570,0.370685,0.569324,0.198639
839,71,5695,0.370623,0.569446,0.198823
842,100,6246,0.370726,0.569784,0.199058
845,54,5923,0.370867,0.570311,0.199444
848,71,8236,0.372327,0.571243,0.198916
873,63,3965,0.45629,0.572793,0.116503
160,91,87851,0.004359,0.573569,0.56921
875,6,361,0.460274,0.57554,0.115266
874,18,1444,0.460253,0.575635,0.115382
880,29,2982,0.461475,0.577348,0.115873
882,52,5220,0.461634,0.577821,0.116187
881,112,2749,0.461572,0.578114,0.116542
884,52,4974,0.463474,0.579524,0.11605
851,104,9076,0.382198,0.579757,0.197559
885,49,1308,0.468516,0.584305,0.115789
888,32,2576,0.468595,0.584588,0.115993
241,35,10033,0.007391,0.586751,0.57936
891,81,2080,0.470626,0.587087,0.116461
892,54,2444,0.470713,0.58736,0.116647
894,81,4679,0.470765,0.588068,0.117303
896,54,5306,0.470785,0.588404,0.117619
895,81,2947,0.470773,0.58855,0.117777
904,8,1884,0.482235,0.600563,0.118328
906,8,2375,0.482269,0.601112,0.118843
820,9,7972,0.335074,0.61041,0.275336
821,9,9085,0.335097,0.610761,0.275664
909,12,659,0.498807,0.615265,0.116458
908,92,1032,0.498807,0.615325,0.116518
910,108,131,0.498969,0.615391,0.116422
825,107,8643,0.342583,0.615454,0.272871
911,102,247,0.504164,0.619339,0.115175
914,86,294,0.508473,0.623837,0.115364
915,0,835,0.510104,0.625045,0.114941
112,59,82109,0.003372,0.62783,0.624458
917,97,594,0.517729,0.630432,0.112703
918,75,319,0.521191,0.633161,0.11197
919,14,296,0.521344,0.633341,0.111997
841,100,15272,0.370708,0.635565,0.264857
144,35,60573,0.004052,0.638455,0.634403
921,17,351,0.529891,0.639136,0.109245
166,100,20791,0.004797,0.639662,0.634865
876,29,6346,0.461371,0.641103,0.179732
879,25,7707,0.46147,0.641278,0.179808
877,112,3604,0.461446,0.641349,0.179903
878,112,7469,0.461454,0.641729,0.180275
852,8,6180,0.382367,0.642957,0.26059
853,104,7956,0.38241,0.643086,0.260676
922,52,4584,0.539469,0.646888,0.107419
887,49,4528,0.468555,0.647718,0.179163
897,71,5620,0.470802,0.650057,0.179255
900,81,6718,0.470853,0.650311,0.179458
898,71,4823,0.470839,0.650547,0.179708
899,71,5813,0.47084,0.650587,0.179747
923,72,622,0.549874,0.657411,0.107537
543,41,12153,0.016082,0.658088,0.642006
903,8,8179,0.482164,0.660975,0.178811
905,8,4089,0.482268,0.661402,0.179134
861,44,11978,0.40155,0.662405,0.260855
929,70,534,0.581367,0.688227,0.10686
870,107,8926,0.442558,0.689494,0.246936
930,18,1332,0.587932,0.693164,0.105232
920,29,7316,0.527815,0.69778,0.169965
931,82,2438,0.594816,0.698483,0.103667
854,104,22272,0.382437,0.702809,0.320372
889,32,15194,0.468612,0.706124,0.237512
932,95,127,0.608537,0.707691,0.0991542
933,92,247,0.610003,0.708631,0.0986276
934,114,546,0.617726,0.715364,0.0976375
901,31,8975,0.479805,0.717009,0.237204
936,106,487,0.621604,0.719079,0.097475
618,62,7917,0.017843,0.719409,0.701566
940,62,440,0.629895,0.727299,0.0974036
939,89,707,0.629881,0.727344,0.0974631
941,50,313,0.632747,0.729924,0.0971775
943,74,421,0.638749,0.73556,0.096811
77,81,56543,0.002806,0.74391,0.741104
944,13,216,0.64894,0.747311,0.0983712
945,101,724,0.649865,0.748084,0.098219
946,74,307,0.651026,0.748841,0.0978154
138,35,62421,0.003874,0.75329,0.749416
158,35,39245,0.004313,0.75833,0.754017
248,33,30336,0.007468,0.766959,0.759491
572,13,29863,0.016716,0.776899,0.760183
937,104,7219,0.625998,0.781904,0.155906
950,14,1428,0.697156,0.792834,0.0956783
951,14,459,0.697241,0.792901,0.0956601
952,24,547,0.697264,0.792956,0.0956922
954,57,107,0.708484,0.805939,0.0974547
956,23,533,0.710118,0.808653,0.0985345
955,12,1273,0.710118,0.80871,0.098592
958,17,384,0.717721,0.816029,0.0983083
959,114,450,0.718727,0.816981,0.0982536
961,1,890,0.721255,0.819074,0.0978192
893,71,15350,0.470757,0.828361,0.357604
962,70,421,0.731518,0.82918,0.0976618
963,65,697,0.738724,0.837666,0.098942
964,35,590,0.738735,0.837672,0.0989374
967,101,318,0.749009,0.849814,0.100805
968,38,579,0.749056,0.8499,0.100844
969,113,134,0.749878,0.85058,0.100702
713,44,10936,0.101482,0.857862,0.75638
970,28,130,0.76029,0.86094,0.10065
971,51,140,0.760291,0.860948,0.100657
975,78,470,0.793539,0.89727,0.103731
977,97,191,0.793675,0.897445,0.10377
976,45,122,0.793589,0.897447,0.103858
965,8,7071,0.739174,0.902789,0.163615
978,92,534,0.79881,0.903381,0.104571
979,0,415,0.798963,0.903515,0.104552
981,4,898,0.804179,0.909653,0.105474
982,14,125,0.808541,0.914768,0.106227
983,69,508,0.810003,0.916168,0.106165
985,64,201,0.818744,0.924769,0.106025
986,0,117,0.821603,0.927281,0.105678
131,14,68415,0.003714,0.941003,0.937289
168,18,83531,0.004881,0.948341,0.94346
171,51,50999,0.005002,0.94841,0.943408
990,37,260,0.848957,0.954658,0.105701
994,89,495,0.857732,0.964789,0.107057
539,24,69023,0.016053,0.967141,0.951088
995,2,792,0.860263,0.967396,0.107133
980,25,7123,0.800033,0.969235,0.169202
1000,24,107,0.878738,0.985329,0.106591
1001,89,280,0.881373,0.987349,0.105976
1002,62,303,0.892512,0.998414,0.105902
1003,62,775,0.892516,0.998484,0.105968
1004,45,495,0.892587,0.99858,0.105993
1005,77,189,0.893514,0.99924,0.105726
1006,48,406,0.893593,0.99934,0.105747
1007,50,310,0.897165,1.00277,0.10561
1008,92,562,0.897895,1.0035,0.105605
134,80,69299,0.00377,1.00466,1.00089
1010,46,378,0.904177,1.00905,0.104869
1009,90,644,0.904172,1.00908,0.10491
1011,106,273,0.905195,1.01005,0.104859
1012,4,279,0.905224,1.0101,0.104872
1013,92,645,0.905243,1.01014,0.104893
1014,90,254,0.910123,1.01353,0.103405
991,112,7225,0.850457,1.01769,0.167229
