Time,QueueLength
1,15802.2
2,3216.07
3,606.441
4,4095.81
5,1271.03
6,39.3963
7,2050.59
8,3262.25
9,3524.4
10,608.385
11,263.814
12,1583.82
13,931.181
14,2909.58
15,415.265
16,2152.18
17,0
18,308.284
19,3331.99
20,271.159
21,179.17
22,1664.21
23,470.811
24,866.293
25,140.675
26,2326.08
27,3024.83
28,214.769
29,0
30,2090.72
31,167.574
32,320.777
33,2032.01
34,0
35,4903.28
36,642.226
37,405.488
38,0
39,1340.44
40,4505.94
41,539.212
42,697.582
43,335.399
44,1133.29
45,4410.18
46,3629.67
47,1405.74
48,376.976
49,2065.42
50,493.27
51,1666.39
52,301.662
53,728.807
54,347.676
55,170.474
56,1768.07
57,1991.05
58,1334.94
59,677.061
60,870.483
61,0
62,3199.99
63,601.784
64,1427.55
65,695.479
66,135.928
67,869.635
68,2369.28
69,692.982
70,1.17305
71,22.3071
72,570.802
73,95.3617
74,356.686
75,313.907
76,533.655
77,1156.81
78,2365.61
79,616.729
80,796.643
81,1899.58
82,507.18
83,2387.79
84,401.532
85,126.718
86,102.444
87,1267.5
88,0
89,284.359
90,148.467
91,164.987
92,0
93,1058.97
94,57.9941
95,13.2547
96,0
97,702.328
98,102.902
99,0
100,145.052
101,0
102,0
103,223.52
104,81.9051
105,156.951
106,21.8742
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,104.303
116,0
117,8.90852
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
