Time,QueueLength
1,217547
2,26893.2
3,1241.38
4,5170.43
5,6255.35
6,1595.97
7,616.688
8,8053.65
9,4067.96
10,3956.48
11,7972.92
12,2796.82
13,593.312
14,2589.55
15,106.084
16,1276.12
17,5889.24
18,1068.97
19,1976.57
20,1161.94
21,254.618
22,3373.4
23,4645.08
24,549.959
25,1682.43
26,5867.71
27,112.533
28,350.102
29,788.151
30,4542.46
31,2430.52
32,4341.62
33,320.522
34,4613.07
35,3188.81
36,3291.01
37,1581.79
38,298.303
39,735.631
40,2186.39
41,1415.56
42,1203.49
43,486.983
44,4831.74
45,1250.04
46,1641.69
47,3827.76
48,7974.34
49,5275.26
50,5879.14
51,5975.46
52,560.397
53,985.781
54,642.54
55,29.0293
56,1343.29
57,19.9749
58,947.102
59,331.109
60,23731.8
61,83.6771
62,284.539
63,1767.56
64,38.4759
65,989.526
66,751.937
67,1042.03
68,0
69,571.04
70,588.519
71,8.6229
72,35.6974
73,383.647
74,412.84
75,959.343
76,5883.75
77,898.621
78,40.0455
79,94.0361
80,494.046
81,206.117
82,862.427
83,152.79
84,321.667
85,267.103
86,0
87,55.4175
88,238.525
89,134.668
90,205.019
91,132.932
92,0
93,760.185
94,0
95,10.1978
96,0
97,1127.92
98,9.77766
99,931.904
100,11.9408
101,0
102,305.268
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,841.787
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
