Time,QueueLength
1,1.2261e+06
2,1.12e+06
3,614421
4,451483
5,374395
6,234812
7,180855
8,191015
9,65699.5
10,6713.9
11,29996.8
12,348.603
13,0
14,0
15,33913.9
16,173678
17,10231.4
18,20073.1
19,1183.55
20,6689.89
21,0
22,21962.8
23,153243
24,3245.96
25,4738.99
26,5295.89
27,988.661
28,0
29,3763.94
30,33080.1
31,512.178
32,5856.35
33,1421.79
34,103.251
35,0
36,497.445
37,8879.97
38,43286.5
39,17408.4
40,2612.4
41,12409.2
42,2721.13
43,208.302
44,7709.57
45,10703.6
46,5687.48
47,451.318
48,1667.72
49,596.006
50,0
51,73.6934
52,6842.29
53,4796.96
54,239.648
55,563.347
56,3309.04
57,1494.59
58,419.797
59,8151.65
60,18480.8
61,53124.5
62,28859.8
63,978.667
64,286.513
65,0
66,0
67,12198.8
68,16630.4
69,25236.2
70,7363.62
71,0
72,20.0396
73,2119.5
74,6158.27
75,4006.1
76,3788.71
77,11613.7
78,2813.51
79,17.8971
80,0
81,792.071
82,4646.39
83,25060.2
84,9806.52
85,7849.58
86,0
87,105.364
88,7657.65
89,5012.82
90,118127
91,37165.3
92,10730.1
93,0
94,0
95,3539.35
96,3952.05
97,640.046
98,75.5823
99,8451.27
100,268.95
101,0
102,0
103,5.22438
104,0
105,722.514
106,4760.29
107,84.112
108,2.94741
109,0
110,0
111,0
112,0
113,28.9108
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
