Time,QueueLength
1,603498
2,567123
3,545618
4,520003
5,427384
6,326688
7,255904
8,209609
9,185910
10,17426
11,73175.4
12,0
13,0
14,0
15,2497.16
16,90903.3
17,12437.8
18,6177.89
19,636.641
20,214.167
21,0
22,36726.6
23,231577
24,3172.03
25,3199.03
26,559.533
27,936.262
28,0
29,407.845
30,30514.2
31,3480.52
32,10580.5
33,136.123
34,0
35,1.44546
36,0
37,30858.8
38,34247.9
39,9037.7
40,105.161
41,229.9
42,0
43,0
44,4880.28
45,20297.4
46,772.274
47,425.056
48,0
49,0
50,0
51,850.72
52,6822.52
53,10329.8
54,771.495
55,386.01
56,0
57,241.022
58,141.654
59,2138.81
60,7682.4
61,39952.6
62,5974.57
63,310.841
64,107.858
65,0
66,96.5422
67,46525.7
68,33976.1
69,6767.53
70,1574.97
71,245.439
72,0
73,951.745
74,3523.77
75,1485.96
76,10984
77,7112.09
78,982.147
79,17.8971
80,0
81,335.478
82,5391.21
83,29013.6
84,6929.14
85,77.3069
86,0
87,0
88,111.188
89,2990.41
90,17305.5
91,604.417
92,2.80689
93,0
94,0
95,615.572
96,420.108
97,254.16
98,79.2928
99,94.3828
100,56.4662
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,133.197
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
