Time,QueueLength
1,450394
2,64298.1
3,3119
4,7392.54
5,516.275
6,2089.39
7,2279.24
8,3354.43
9,139.215
10,8456.69
11,1657.41
12,9776.93
13,2321.17
14,1567.41
15,12730.2
16,262.866
17,935.887
18,2894.99
19,2457.56
20,2197.13
21,504.871
22,334.818
23,3875.06
24,374.25
25,796.431
26,4198.26
27,193.616
28,1715.14
29,1426.61
30,822.737
31,286.31
32,1783.43
33,1860.13
34,532.663
35,1297.32
36,46.9826
37,684.523
38,66.384
39,1446.47
40,204.965
41,0
42,9396.88
43,5335.88
44,8.6634
45,693.429
46,1464.19
47,482.343
48,1593.91
49,43.5985
50,287.389
51,80.9255
52,645.395
53,679.448
54,473.089
55,759.925
56,238.165
57,3804.19
58,318.001
59,207.181
60,817.717
61,192.959
62,140.143
63,668.702
64,636.937
65,1380.12
66,2767.83
67,455.13
68,240.177
69,264.375
70,339.74
71,1265.01
72,1083.88
73,89.0008
74,19.9912
75,2.57972
76,437.684
77,379.011
78,4312.53
79,10.7145
80,39.3641
81,623.605
82,347.085
83,414.135
84,1061.7
85,1815.64
86,34.5563
87,384.795
88,1487.25
89,235.821
90,176.621
91,360.808
92,185.219
93,79.6087
94,0
95,1510.6
96,586.617
97,39.2358
98,5.12113
99,139.247
100,359.606
101,1316.54
102,55.1433
103,20.5544
104,0
105,226.064
106,142.44
107,0
108,0
109,110.228
110,0
111,469.828
112,0
113,0
114,61.6499
115,308.968
116,147.633
117,0
118,2.03997
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
