Time,QueueLength
1,43737.6
2,61680.1
3,55827.5
4,77128.9
5,58768.9
6,39697.9
7,29057.2
8,29687.3
9,18815.3
10,11045.9
11,4643.66
12,50.4978
13,0
14,0
15,3098.97
16,21856.5
17,2631.31
18,6179.42
19,2.50897
20,79.076
21,0
22,6721.89
23,28114.6
24,3381.3
25,5225.52
26,57.8781
27,1204.74
28,0
29,1231.62
30,8369.98
31,9042.16
32,6576.96
33,1671.66
34,167.934
35,0
36,0
37,7213.46
38,10141.1
39,1429.11
40,1362.12
41,1183.33
42,915.825
43,0
44,8965.24
45,2918.25
46,4748.1
47,647.871
48,118.646
49,0
50,0
51,2857.76
52,5931.86
53,3919.93
54,5490.81
55,1358.38
56,105.801
57,0
58,2846.34
59,1574.56
60,6209.32
61,18992.6
62,4210.68
63,518.838
64,0
65,0
66,750.975
67,77.8846
68,18343.5
69,10618.6
70,495.06
71,355.991
72,0
73,884.074
74,3447.04
75,4340.98
76,4763.63
77,6871.63
78,1213.12
79,0
80,13.4327
81,2310.74
82,5330.09
83,11558.9
84,1319.93
85,530.493
86,301.404
87,0
88,58.6424
89,4990.67
90,11638.4
91,7059.6
92,131.413
93,0
94,0
95,156.924
96,82.2067
97,2828.24
98,2185.72
99,870.488
100,9.65869
101,0
102,0
103,0
104,90.0928
105,78.9137
106,300.567
107,190.164
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
