Time,QueueLength
1,477477
2,251975
3,132083
4,70663.2
5,12116
6,43287.2
7,9160.66
8,2042.56
9,4875.91
10,823.832
11,67.012
12,363.38
13,0
14,3928.98
15,527.117
16,165.927
17,2792.89
18,27040.3
19,119.019
20,191.345
21,5738.08
22,9104.42
23,5991.11
24,310.596
25,10220.4
26,1532.55
27,223.165
28,89.3258
29,511.173
30,557.709
31,346.237
32,674.291
33,7666.1
34,474.007
35,746.484
36,235.529
37,472.149
38,609.845
39,4348.32
40,6334.06
41,26889.4
42,2713.27
43,1210.33
44,3093.22
45,1074.41
46,2930.88
47,2050.57
48,753.964
49,3177.86
50,6865.74
51,671.68
52,321.414
53,694.071
54,6013.35
55,2892.31
56,13060
57,7792.31
58,7464.19
59,1329.39
60,345.997
61,1928.01
62,5854.61
63,2290.39
64,4311.97
65,20409.8
66,5593.95
67,2550.45
68,140.937
69,15888.9
70,5570.03
71,473.655
72,74.5618
73,28188.8
74,87.8456
75,592.206
76,855.197
77,81.3505
78,476.754
79,19714.2
80,610.983
81,1049.85
82,481.332
83,1516.82
84,485.914
85,2382.17
86,466.972
87,79.2562
88,817.378
89,200.201
90,450.333
91,973.013
92,88.0243
93,57.6214
94,0.0610445
95,209.611
96,14.2891
97,507.63
98,18.928
99,377.829
100,3.48112
101,150.617
102,0
103,11.1646
104,0
105,24.0682
106,0
107,9.15869
108,0
109,2.74479
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,267.023
119,0
120,34.8503
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
