Time,QueueLength
1,587615
2,581023
3,549785
4,546257
5,420298
6,363426
7,243987
8,235708
9,181459
10,23090.3
11,32948
12,0
13,0
14,0
15,6147.66
16,127091
17,1668.95
18,30978.4
19,0
20,84.8161
21,0
22,59606.9
23,249344
24,14230.5
25,9944.68
26,58.1746
27,542.202
28,0
29,1367.65
30,49231.9
31,36346.7
32,22237.2
33,4214.04
34,202.661
35,0
36,0
37,59101.4
38,77645.8
39,4229.29
40,1152.7
41,1390.72
42,1260.57
43,0
44,11475.5
45,5598.75
46,9015.4
47,445.435
48,141.602
49,0
50,0
51,1891.15
52,19165
53,6069.93
54,14670.6
55,1164.64
56,115.841
57,0
58,3147.09
59,1731.82
60,14172.6
61,92257.3
62,32643.3
63,219.43
64,0
65,0
66,999.366
67,70.7102
68,128028
69,128013
70,899.945
71,543.881
72,0
73,1293.46
74,8081.19
75,8463.94
76,13476.8
77,33722.4
78,808.697
79,0
80,13.4327
81,3137.94
82,11137.3
83,71913.3
84,1652.76
85,577.347
86,298.346
87,0
88,47.5013
89,10961.1
90,76038.5
91,13461.2
92,79.0473
93,0
94,0
95,149.539
96,105.247
97,4174
98,4750.26
99,2354.41
100,10.2736
101,0
102,0
103,0
104,92.0996
105,83.7824
106,338.176
107,260.058
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
