Time,Throughput
1,15234415
2,12972560
3,6119451
4,7402843
5,10079021
6,6316389
7,8465422
8,8630458
9,13413760
10,7525800
11,7111289
12,9979722
13,9088627
14,9431816
15,6592251
16,9060409
17,8554959
18,7385670
19,8823149
20,8368122
21,7430454
22,10808542
23,7967179
24,10607078
25,7981096
26,10194845
27,8765627
28,6515336
29,5428614
30,9739207
31,9202248
32,7425966
33,9921992
34,4666006
35,11236659
36,9676850
37,7002174
38,5635051
39,8646179
40,10033996
41,9090147
42,7317083
43,7585245
44,7187538
45,11470408
46,11239327
47,7951287
48,10182467
49,7960242
50,6743632
51,9796794
52,7465762
53,7757363
54,6546911
55,5570998
56,9199915
57,10721617
58,7937552
59,6070786
60,9068305
61,5781312
62,9098182
63,9374446
64,7537851
65,8849093
66,7591832
67,6539998
68,9663578
69,9072217
70,4819490
71,4677126
72,8958289
73,7195370
74,7737864
75,7696060
76,7460229
77,5581655
78,9161245
79,7698806
80,7152822
81,8756000
82,6281468
83,7748766
84,8656428
85,6439523
86,6216554
87,6963333
88,4863138
89,6717035
90,7782868
91,8117185
92,5132744
93,6791857
94,6856122
95,4597119
96,4635940
97,5365102
98,4769376
99,4387220
100,6542300
101,2701672
102,3941563
103,3657010
104,4209543
105,3740238
106,2082978
107,2302001
108,2920548
109,2266851
110,1300732
111,2769701
112,1352977
113,2460425
114,867001
115,1621629
116,1231195
117,3320911
118,1006854
119,1299843
120,560374
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
