Time,Throughput
1,15736458
2,19966137
3,12182901
4,9701263
5,12763437
6,8003664
7,8196709
8,12767117
9,8930713
10,9695742
11,13601393
12,11805916
13,8300974
14,10151572
15,6671136
16,10439330
17,12213062
18,10848003
19,9320526
20,12062071
21,9145621
22,12125445
23,11978852
24,8534534
25,10244132
26,10872092
27,6918035
28,7028592
29,9739933
30,12611955
31,9750359
32,10587401
33,7831664
34,11892223
35,12200303
36,8695378
37,7805847
38,9285788
39,8332645
40,7811860
41,9328923
42,9144823
43,7461266
44,8785680
45,9586263
46,10223227
47,12785581
48,10091455
49,10615684
50,11896949
51,11399104
52,7172466
53,6510862
54,6097748
55,6110529
56,8029186
57,6993520
58,10245490
59,7112950
60,10666375
61,5755475
62,7609952
63,8342715
64,4547810
65,7787350
66,7470422
67,7826559
68,5289027
69,8024356
70,9277313
71,5723552
72,6824039
73,7480128
74,5579310
75,8926774
76,11135471
77,7699950
78,5575562
79,4327998
80,4150040
81,5899412
82,7000408
83,4321360
84,4513561
85,6292358
86,2976701
87,6685420
88,4918787
89,6696903
90,6250926
91,3448026
92,1934475
93,6004785
94,4122172
95,3764223
96,3207738
97,3960630
98,3486883
99,6217228
100,3609298
101,3342193
102,3606778
103,1263690
104,3473935
105,2013690
106,1149934
107,2504081
108,2303060
109,548449
110,1601886
111,2986050
112,2940632
113,1480708
114,1492789
115,1129567
116,1169318
117,627272
118,596731
119,534742
120,286890
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
