Time,Throughput
1,14653832
2,22355808
3,24866444
4,23617017
5,23538813
6,23567415
7,22503056
8,21662822
9,21469812
10,14976564
11,9078955
12,3266972
13,1612449
14,37823
15,9800148
16,21140469
17,13093019
18,12031954
19,7149705
20,7440793
21,730659
22,11321042
23,18662450
24,15525583
25,12825744
26,6173085
27,5835944
28,1467621
29,5386057
30,14273003
31,9690854
32,9694061
33,5026834
34,3462625
35,2907416
36,4037915
37,12684058
38,17078273
39,14275186
40,5009812
41,7259381
42,5763518
43,1646238
44,8713630
45,8968276
46,9126382
47,3741339
48,6434644
49,3816440
50,367627
51,2729216
52,9461052
53,12532023
54,7768494
55,5489944
56,6826230
57,2598828
58,3277539
59,8408371
60,11752566
61,18681564
62,12663499
63,5264746
64,2675286
65,1465292
66,2113630
67,11358961
68,13304486
69,13183615
70,11528246
71,4201931
72,2947293
73,5537188
74,8831152
75,8609275
76,11058349
77,9587328
78,4027856
79,2808843
80,2533742
81,4392761
82,7783665
83,13643270
84,7693671
85,6209886
86,1455945
87,4087148
88,8664689
89,9652202
90,16932970
91,15283650
92,6439830
93,1548662
94,1076089
95,3296402
96,3372879
97,7032707
98,4167093
99,8994314
100,4578462
101,2427472
102,1704255
103,4342590
104,2951208
105,6991265
106,4161351
107,4489221
108,4584690
109,1627586
110,1611988
111,2156372
112,3250628
113,3210202
114,981889
115,534790
116,681992
117,3683352
118,1762749
119,969097
120,1648570
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
