Time,Throughput
1,14090367
2,21048130
3,25562980
4,25155305
5,23094635
6,22653718
7,23076379
8,22454357
9,22119690
10,19335732
11,11899023
12,4022304
13,1795795
14,44864
15,9232183
16,19760875
17,9680357
18,11576599
19,6693355
20,5713677
21,493173
22,12188672
23,18891666
24,17144710
25,13165931
26,4763131
27,6212445
28,878879
29,3746496
30,14569466
31,13351012
32,12996395
33,7541401
34,3177097
35,2229897
36,3689726
37,13549702
38,19055481
39,13053041
40,5201158
41,5789382
42,3697495
43,1365515
44,10159207
45,12137237
46,10951559
47,3586903
48,3991103
49,2119767
50,375138
51,5888402
52,13663679
53,12362645
54,10780873
55,5917978
56,4712535
57,2840134
58,4640482
59,11042467
60,10449474
61,18732964
62,9739145
63,6580048
64,2767380
65,1517948
66,4460946
67,12813130
68,16870387
69,11905833
70,10718894
71,3550486
72,2838675
73,8486730
74,10355654
75,11182566
76,12389385
77,10584154
78,5361843
79,1678387
80,3617753
81,6641117
82,11585354
83,15149701
84,6257176
85,4413821
86,1415393
87,2891315
88,5093002
89,11323685
90,15367595
91,9072999
92,3245916
93,2000407
94,1706313
95,3786169
96,4704953
97,9307816
98,6380716
99,7262648
100,4022637
101,611294
102,1483899
103,3548435
104,2867309
105,5497244
106,3507254
107,3512518
108,1659498
109,1206326
110,1769857
111,3189353
112,3385209
113,2279007
114,1016702
115,553374
116,794292
117,1748349
118,1381210
119,2098325
120,805990
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
