Time,Throughput
1,15802568
2,18706092
3,12565823
4,10747566
5,9945399
6,9963117
7,9002289
8,10978449
9,6979902
10,11356509
11,8853931
12,9068799
13,9754281
14,9178350
15,10410686
16,8464014
17,8590063
18,7291523
19,8383672
20,7226657
21,8246785
22,7920888
23,7813552
24,7802703
25,8163611
26,10109594
27,7481880
28,8689916
29,9022375
30,7099046
31,9642055
32,7165141
33,9508317
34,9156800
35,6845400
36,6693294
37,8330614
38,5202094
39,7061695
40,8866446
41,6056763
42,11103242
43,12429184
44,8717466
45,6049288
46,8345898
47,7226370
48,7332076
49,4012676
50,8176847
51,6490702
52,7679733
53,8276702
54,6988287
55,6073568
56,5150851
57,8340722
58,6093683
59,7740329
60,6599617
61,4946371
62,5156901
63,8660652
64,8620072
65,7348040
66,9559183
67,7940609
68,7168324
69,8289939
70,7276588
71,8399370
72,6063652
73,6587807
74,5164980
75,4159422
76,6652086
77,4948088
78,8019053
79,7388089
80,6051893
81,7142191
82,7395631
83,7134614
84,9579351
85,6775343
86,5894022
87,9801078
88,7410020
89,5655760
90,6177055
91,7598518
92,5060101
93,2183767
94,3033382
95,7100170
96,5510832
97,2180810
98,3577760
99,5278796
100,4727516
101,4314561
102,4303838
103,3207787
104,4207938
105,3601201
106,3377372
107,4329176
108,3405140
109,5001118
110,1872608
111,4558169
112,2371080
113,3023900
114,2805302
115,2307818
116,3356956
117,1074203
118,2288334
119,2881045
120,786772
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
