Time,Throughput
1,15043560
2,19267192
3,21099244
4,21470552
5,22986120
6,22929240
7,27825708
8,21925636
9,21644736
10,18343056
11,13367672
12,8002312
13,2152920
14,420736
15,9945484
16,18880656
17,9258844
18,12562968
19,5502448
20,6882252
21,272584
22,8204832
23,18309408
24,17631984
25,15969348
26,6251752
27,6818360
28,360268
29,1264484
30,12471300
31,14049816
32,15553380
33,9831336
34,3720412
35,1278516
36,1041648
37,13478700
38,18266920
39,14494656
40,7659168
41,3702540
42,5122820
43,887144
44,10016204
45,9838840
46,13848828
47,6739976
48,2504056
49,1028392
50,579184
51,2963632
52,13359860
53,13201392
54,13698528
55,6559216
56,5147992
57,276124
58,8889524
59,8719744
60,8552672
61,16879900
62,12348156
63,9504676
64,1988596
65,317776
66,3623092
67,6366688
68,16493840
69,16812920
70,11994840
71,4777768
72,1305916
73,6536296
74,10180072
75,12789112
76,10947632
77,12881352
78,5280692
79,1613864
80,1589044
81,7315644
82,9688864
83,15134264
84,8182128
85,6044264
86,1803900
87,549800
88,4899688
89,10515264
90,15871720
91,10444984
92,6646784
93,760612
94,450180
95,3525764
96,3920096
97,9515224
98,8746800
99,9236572
100,2300568
101,248496
102,1864636
103,1195872
104,3426304
105,3972728
106,5911712
107,2941100
108,443752
109,2335764
110,2328200
111,714524
112,3088472
113,2602432
114,1514168
115,288136
116,150772
117,252964
118,198452
119,404024
120,235960
121,800
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
