Time,Throughput
1,13191895
2,27614398
3,22369083
4,19695011
5,17065265
6,15442177
7,14897410
8,9655356
9,10212797
10,7412234
11,5996974
12,6695662
13,5902245
14,8593743
15,5900296
16,7194721
17,8112057
18,13209601
19,7479209
20,7795318
21,10625942
22,13087504
23,11674866
24,7489706
25,13683613
26,7352851
27,10189188
28,5812823
29,5635594
30,7756933
31,5912789
32,7552046
33,11952117
34,9008386
35,11323051
36,6318235
37,4706599
38,4837541
39,9051062
40,13123935
41,10916534
42,12902563
43,7960069
44,10828388
45,8736436
46,10624255
47,9013862
48,7097802
49,9683861
50,12238988
51,8251457
52,6846972
53,8985488
54,10833494
55,9280940
56,13601008
57,9695762
58,11649083
59,11437142
60,8940565
61,10245171
62,12207949
63,9941862
64,10415889
65,10114974
66,9707436
67,8872492
68,7870372
69,12062484
70,13554426
71,7308690
72,7078878
73,10265349
74,8521543
75,6387857
76,7196566
77,5705217
78,7743599
79,12484074
80,8526725
81,7329016
82,6595215
83,9872739
84,5667022
85,6763307
86,2363454
87,5386011
88,5329023
89,8180957
90,9306142
91,5285635
92,5092237
93,2768062
94,2951383
95,4061946
96,5527495
97,3458584
98,2307134
99,3949450
100,4284717
101,4762215
102,2755062
103,3042023
104,2972904
105,3820442
106,2450821
107,4643659
108,3134782
109,4108592
110,2104866
111,1655468
112,1161104
113,1454205
114,1963154
115,1023879
116,802133
117,41919
118,2480917
119,779620
120,911434
121,3074
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
