Time,Throughput
1,13212238
2,23026179
3,25316157
4,24285886
5,23727731
6,22592122
7,22747560
8,22455338
9,21867495
10,18759500
11,13353322
12,3893571
13,889407
14,68118
15,10910518
16,18370126
17,8973495
18,12836899
19,5021746
20,6591553
21,267010
22,9307066
23,20530120
24,17076295
25,15097470
26,4350370
27,6790347
28,215353
29,1322875
30,14716889
31,14341836
32,13927790
33,8965370
34,3495467
35,1255272
36,1022832
37,14569021
38,20742460
39,11753608
40,6655228
41,3950136
42,4801364
43,886999
44,11395854
45,10731820
46,12344604
47,5780943
48,2492594
49,1041850
50,580727
51,3101208
52,15076625
53,11571238
54,13599008
55,6149630
56,5138256
57,266517
58,9084292
59,8583961
60,9134575
61,19309530
62,11753175
63,6852073
64,1863445
65,324722
66,3598456
67,6355927
68,18495372
69,16482091
70,11167650
71,3971454
72,1131459
73,6566581
74,10477916
75,12682087
76,11690607
77,12436881
78,4862494
79,1208793
80,1574831
81,7334989
82,9978428
83,16584642
84,6499982
85,5843126
86,1781497
87,548665
88,4901869
89,10676513
90,17566002
91,9538013
92,5726244
93,762422
94,452576
95,3535062
96,3940346
97,9600467
98,9056829
99,8856889
100,2303274
101,246937
102,1842003
103,1201311
104,3421229
105,3955771
106,5958489
107,2903970
108,446972
109,2305001
110,2357283
111,704242
112,3094667
113,2610845
114,1525250
115,286137
116,158321
117,258290
118,201523
119,407214
120,236321
121,888
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
